dataset,algorithm,depth,accuracy,coverage,density,f_score,splits,leaves,interpretability,sparsity,training_time
barbell_3d,hhcart,1,0.859,0.0,0.0,0.0,1,2,0.0,0.0,0.0054318904876708984
radial_segment_3d,hhcart,1,0.7587,0.0,0.0,0.0,1,2,0.0,0.0,0.005292177200317383
saddle_3d,hhcart,1,0.8022,0.0,0.0,0.0,1,2,0.0,0.0,0.005285501480102539
barbell_3d,randcart,1,0.859,0.0,0.0,0.0,1,2,0.0,0.0,0.0031621456146240234
radial_segment_3d,randcart,1,0.7587,0.0,0.0,0.0,1,2,0.0,0.0,0.00322723388671875
saddle_3d,randcart,1,0.8022,0.0,0.0,0.0,1,2,0.0,0.0,0.0034139156341552734
barbell_3d,oc1,1,0.859,0.0,0.0,0.0,1,2,0.0,0.0,65.7224612236023
radial_segment_3d,oc1,1,0.7587,0.0,0.0,0.0,1,2,0.0,0.0,68.88298964500427
saddle_3d,oc1,1,0.8022,0.0,0.0,0.0,1,2,0.0,0.6666666666666666,69.69767427444458
barbell_3d,wodt,1,0.859,0.0,0.0,0.0,0,1,0.0,0.0,0.0010328292846679688
radial_segment_3d,wodt,1,0.7587,0.0,0.0,0.0,0,1,0.0,0.0,0.0010952949523925781
saddle_3d,wodt,1,0.8022,0.0,0.0,0.0,0,1,0.0,0.0,0.0011143684387207031
barbell_3d,hhcart,2,0.859,0.0,0.0,0.0,3,4,3.0,0.0,0.013744592666625977
radial_segment_3d,hhcart,2,0.7587,0.0,0.0,0.0,3,4,3.0,0.0,0.013973236083984375
saddle_3d,hhcart,2,0.8022,0.0,0.0,0.0,3,4,3.0,0.0,0.014287948608398438
barbell_3d,randcart,2,0.859,0.0,0.0,0.0,3,4,3.0,0.0,0.0064563751220703125
radial_segment_3d,randcart,2,0.7587,0.0,0.0,0.0,3,4,3.0,0.0,0.007674694061279297
saddle_3d,randcart,2,0.8022,0.0,0.0,0.0,3,4,3.0,0.0,0.007634878158569336
barbell_3d,oc1,2,0.859,0.0,0.0,0.0,2,3,3.0,0.16666666666666666,115.36254215240479
radial_segment_3d,oc1,2,0.7587,0.0,0.0,0.0,2,3,3.0,0.0,111.40032148361206
saddle_3d,oc1,2,0.8022,0.0,0.0,0.0,2,3,3.0,0.0,105.56641960144043
barbell_3d,wodt,2,0.859,0.0,0.0,0.0,1,2,0.0,0.0,0.08224654197692871
radial_segment_3d,wodt,2,0.7587,0.0,0.0,0.0,1,2,0.0,0.0,0.07474970817565918
saddle_3d,wodt,2,0.8022,0.0,0.0,0.0,1,2,0.0,0.0,0.09560656547546387
barbell_3d,hhcart,3,0.859,0.0,0.0,0.0,7,8,3.0,0.0,0.022027015686035156
radial_segment_3d,hhcart,3,0.765,0.22503108164111066,0.530791788856305,0.3160651920838184,7,8,3.0,0.0,0.0204927921295166
saddle_3d,hhcart,3,0.8022,0.0,0.0,0.0,7,8,3.0,0.0,0.02135944366455078
barbell_3d,randcart,3,0.859,0.0,0.0,0.0,7,8,3.0,0.0,0.010952234268188477
radial_segment_3d,randcart,3,0.7587,0.0,0.0,0.0,7,8,3.0,0.0,0.010957002639770508
saddle_3d,randcart,3,0.8022,0.0,0.0,0.0,7,8,3.0,0.0,0.012994766235351562
barbell_3d,oc1,3,0.859,0.0,0.0,0.0,4,5,3.0,0.08333333333333333,131.75742411613464
radial_segment_3d,oc1,3,0.7804,0.8843762950683796,0.5267835102443841,0.6602722772277227,4,5,3.0,0.0,129.96505045890808
saddle_3d,oc1,3,0.8163,0.7603640040444893,0.5245901639344263,0.6208462332301342,3,4,3.0,0.2222222222222222,116.17314505577087
barbell_3d,wodt,3,0.859,0.0,0.0,0.0,3,4,3.0,0.0,0.15203261375427246
