seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
1,barbell_2d_fuzziness_000,2,cart,0,0.7288,0.0,,,0.0,0.0,0,1,8.067116141319275e-06
1,barbell_2d_fuzziness_000,2,cart,1,0.7288,0.0,,,0.4948377581120944,0.4653782395622909,1,2,7.077122163958848
1,barbell_2d_fuzziness_000,2,cart,2,0.7288,0.0,,,0.7337758112094395,0.5655768000417414,3,4,12.28520661080256
1,barbell_2d_fuzziness_000,2,cart,3,0.7288,0.0,,,0.8383902233459757,0.6183876391875134,6,7,16.170258676167578
1,barbell_2d_fuzziness_000,2,cart,4,0.7302,0.0051622418879056,1.0,0.0102714600146735,0.8934030571198714,0.747966431214171,10,11,18.934424479026347
1,barbell_2d_fuzziness_000,2,cart,5,0.7364,0.0412979351032448,0.7567567567567568,0.0783216783216783,0.9121927236971484,0.7244754859726978,14,15,21.30767234973609
1,barbell_2d_fuzziness_000,2,cart,6,0.7494,0.413716814159292,0.55053974484789,0.4724210526315788,0.8905604719764013,0.6815985189547376,19,20,23.74590065330267
1,barbell_2d_fuzziness_000,2,cart,7,0.9004,0.8650442477876106,0.7883064516129032,0.8248945147679324,0.8959650231774126,0.661568432791225,27,28,25.046821103896946
1,barbell_2d_fuzziness_000,2,cart,8,0.9728,0.9690265486725664,0.9332386363636364,0.950795947901592,0.8928220255653885,0.6246990444555309,32,33,25.79750863090157
1,barbell_2d_fuzziness_000,2,cart,9,0.9782,0.9638643067846608,0.956108266276518,0.9599706206390012,0.887262688147644,0.6068986107304206,38,39,26.052880284842104
1,barbell_2d_fuzziness_000,2,cart,10,0.9876,0.9845132743362832,0.970203488372093,0.9773060029282576,0.8921828908554574,0.5902386173313503,49,50,26.545613090042025
1,barbell_2d_fuzziness_000,2,cart,11,0.9916,0.9889380530973452,0.9802631578947368,0.9845814977973568,0.9034146777509608,0.5576465695891706,65,66,26.64665227988735
1,barbell_2d_fuzziness_000,2,cart,12,0.9924,0.9889380530973452,0.9831378299120236,0.986029411764706,0.9028877503493248,0.5271690986810811,75,76,26.66696819337085
8,barbell_2d_fuzziness_000,2,cart,0,0.7288,0.0,,,0.0,0.0,0,1,8.499715477228165e-06
8,barbell_2d_fuzziness_000,2,cart,1,0.7288,0.0,,,0.4948377581120944,0.4653782395622909,1,2,8.01120930723846
8,barbell_2d_fuzziness_000,2,cart,2,0.7288,0.0,,,0.7337758112094395,0.5655768000417414,3,4,13.528059082105756
8,barbell_2d_fuzziness_000,2,cart,3,0.7288,0.0,,,0.8383902233459757,0.6183876391875134,6,7,17.623122500721365
8,barbell_2d_fuzziness_000,2,cart,4,0.7302,0.0051622418879056,1.0,0.0102714600146735,0.8934030571198714,0.747966431214171,10,11,20.52849162230268
8,barbell_2d_fuzziness_000,2,cart,5,0.7364,0.0412979351032448,0.7567567567567568,0.0783216783216783,0.9121927236971484,0.7244754859726978,14,15,23.02376658702269
8,barbell_2d_fuzziness_000,2,cart,6,0.7494,0.413716814159292,0.55053974484789,0.4724210526315788,0.8905604719764013,0.6815985189547376,19,20,25.52488726982847
8,barbell_2d_fuzziness_000,2,cart,7,0.9004,0.8650442477876106,0.7883064516129032,0.8248945147679324,0.8959650231774126,0.661568432791225,27,28,26.95029122615233
8,barbell_2d_fuzziness_000,2,cart,8,0.9728,0.9690265486725664,0.9332386363636364,0.950795947901592,0.8928220255653885,0.6246990444555309,32,33,27.5315382569097
8,barbell_2d_fuzziness_000,2,cart,9,0.9782,0.9638643067846608,0.956108266276518,0.9599706206390012,0.887262688147644,0.6068986107304206,38,39,27.89779079100117
8,barbell_2d_fuzziness_000,2,cart,10,0.9876,0.9845132743362832,0.970203488372093,0.9773060029282576,0.8921828908554574,0.5902386173313503,49,50,28.42365808226168
8,barbell_2d_fuzziness_000,2,cart,11,0.9916,0.9889380530973452,0.9802631578947368,0.9845814977973568,0.9034146777509608,0.5576465695891706,65,66,28.549918256234378
8,barbell_2d_fuzziness_000,2,cart,12,0.9924,0.9889380530973452,0.9831378299120236,0.986029411764706,0.9028877503493248,0.5271690986810811,75,76,28.60235649207607
11,barbell_2d_fuzziness_000,2,cart,0,0.7288,0.0,,,0.0,0.0,0,1,7.799826562404633e-06
11,barbell_2d_fuzziness_000,2,cart,1,0.7288,0.0,,,0.4948377581120944,0.4653782395622909,1,2,7.929602075833827
11,barbell_2d_fuzziness_000,2,cart,2,0.7288,0.0,,,0.7337758112094395,0.5655768000417414,3,4,13.491487841121852
11,barbell_2d_fuzziness_000,2,cart,3,0.7288,0.0,,,0.8383902233459757,0.6183876391875134,6,7,17.62871996825561
11,barbell_2d_fuzziness_000,2,cart,4,0.7302,0.0051622418879056,1.0,0.0102714600146735,0.8934030571198714,0.747966431214171,10,11,20.590275974944237
11,barbell_2d_fuzziness_000,2,cart,5,0.7364,0.0412979351032448,0.7567567567567568,0.0783216783216783,0.9121927236971484,0.7244754859726978,14,15,23.13370384601876
11,barbell_2d_fuzziness_000,2,cart,6,0.7494,0.413716814159292,0.55053974484789,0.4724210526315788,0.8905604719764013,0.6815985189547376,19,20,25.63974421331659
11,barbell_2d_fuzziness_000,2,cart,7,0.9004,0.8650442477876106,0.7883064516129032,0.8248945147679324,0.8959650231774126,0.661568432791225,27,28,27.119623547419906
11,barbell_2d_fuzziness_000,2,cart,8,0.9728,0.9690265486725664,0.9332386363636364,0.950795947901592,0.8928220255653885,0.6246990444555309,32,33,27.61299603432417
11,barbell_2d_fuzziness_000,2,cart,9,0.9782,0.9638643067846608,0.956108266276518,0.9599706206390012,0.887262688147644,0.6068986107304206,38,39,28.06430971901864
11,barbell_2d_fuzziness_000,2,cart,10,0.9876,0.9845132743362832,0.970203488372093,0.9773060029282576,0.8921828908554574,0.5902386173313503,49,50,28.03009268734604
11,barbell_2d_fuzziness_000,2,cart,11,0.9916,0.9889380530973452,0.9802631578947368,0.9845814977973568,0.9034146777509608,0.5576465695891706,65,66,28.09926850488409
11,barbell_2d_fuzziness_000,2,cart,12,0.9924,0.9889380530973452,0.9831378299120236,0.986029411764706,0.9028877503493248,0.5271690986810811,75,76,28.18842177093029
1,barbell_2d_fuzziness_000,2,co2,0,0.7288,0.0,,,0.0,0.0,0,1,5.223602056503296e-05
1,barbell_2d_fuzziness_000,2,co2,1,0.7288,0.0,,,0.4948377581120944,0.4653782395622909,1,2,0.0700003909878432
1,barbell_2d_fuzziness_000,2,co2,2,0.7288,0.0,,,0.6632251720747298,0.6444334086939039,2,3,0.3174931956455111
1,barbell_2d_fuzziness_000,2,co2,3,0.7288,0.0,,,0.7474188790560472,0.7335553256605887,3,4,0.3850224972702563
1,barbell_2d_fuzziness_000,2,co2,4,0.7288,0.0,,,0.7979351032448379,0.78713321769455,4,5,0.4240945437923074
1,barbell_2d_fuzziness_000,2,co2,5,0.7288,0.0,,,0.8252212389380533,0.7821437628792873,5,6,0.4734564903192222
1,barbell_2d_fuzziness_000,2,co2,6,0.7288,0.0,,,0.8457648546144123,0.7869400966023532,6,7,0.7069486752152443
1,barbell_2d_fuzziness_000,2,co2,7,0.7288,0.0,,,0.8573008849557522,0.7666321536084104,7,8,0.8922170931473374
1,barbell_2d_fuzziness_000,2,co2,8,0.7288,0.0,,,0.8731563421828907,0.7702352730513378,8,9,1.1238776040263474
8,barbell_2d_fuzziness_000,2,co2,0,0.7288,0.0,,,0.0,0.0,0,1,4.324596375226975e-05
8,barbell_2d_fuzziness_000,2,co2,1,0.7288,0.0,,,0.4948377581120944,0.4653782395622909,1,2,0.1854367149062454
11,barbell_2d_fuzziness_000,2,co2,0,0.7288,0.0,,,0.0,0.0,0,1,0.0001321998424828
11,barbell_2d_fuzziness_000,2,co2,1,0.7288,0.0,,,0.4948377581120944,0.4653782395622909,1,2,0.0580118182115256
11,barbell_2d_fuzziness_000,2,co2,2,0.7288,0.0,,,0.6632251720747298,0.6436161017262636,2,3,0.3122785720042884
1,barbell_2d_fuzziness_000,2,hhcart_a,0,0.7288,0.0,,,0.0,0.0,0,1,7.957220077514648e-06
1,barbell_2d_fuzziness_000,2,hhcart_a,1,0.7288,0.0,,,0.5,0.5,1,2,28.62285119807348
1,barbell_2d_fuzziness_000,2,hhcart_a,2,0.8022,0.9800884955752212,0.5800960279353994,0.7288182067452701,0.6533923303834812,0.6452159918271254,2,3,44.4811033369042
1,barbell_2d_fuzziness_000,2,hhcart_a,3,0.8504,0.974188790560472,0.6494591937069814,0.7793510324483776,0.7867256637168143,0.6642099606586633,4,5,53.12424873840064
1,barbell_2d_fuzziness_000,2,hhcart_a,4,0.8922,0.9823008849557522,0.7211694639956686,0.8317202622541366,0.8754506719108488,0.6223031761021669,8,9,59.55615284200758
