shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
radial_segment_3d,0.03,10000,1,3,hhcart_d,0,0.6938,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,6.420537829399109e-06
radial_segment_3d,0.03,10000,1,3,hhcart_d,1,0.6938,0.0,0.0,0.0,0.4810581319399085,0.4428260635069576,1,2,3,3.0,82.14252269733697
radial_segment_3d,0.03,10000,1,3,hhcart_d,2,0.7675,0.8262573481384716,0.5852417302798982,0.6851726472579553,0.6490855649902025,0.4864867560115258,3,4,3,3.0,133.8486472722143
radial_segment_3d,0.03,10000,1,3,hhcart_d,3,0.8033,0.8017635532331809,0.6435124508519003,0.7139741166206194,0.786087524493795,0.5260190002260425,7,8,3,3.0,163.48755248636007
radial_segment_3d,0.03,10000,1,3,hhcart_d,4,0.8476,0.8961463096015676,0.6946835443037974,0.7826583000570452,0.8645084911822338,0.5892491830729347,15,16,3,3.0,182.21395934280008
radial_segment_3d,0.03,10000,1,3,hhcart_d,5,0.857,0.9033311561071196,0.7092307692307692,0.794599253088193,0.8718890065091556,0.5344791922189509,28,29,3,3.0,197.6482772268355
radial_segment_3d,0.03,10000,1,3,hhcart_d,6,0.8895,0.7651861528412802,0.8585562477097838,0.8091866689690901,0.8855010631349278,0.5788951937881768,46,47,3,3.0,206.98775778524575
radial_segment_3d,0.03,10000,1,3,hhcart_d,7,0.9364,0.8967994774657086,0.8956294846705806,0.8962140992167101,0.9031164159874016,0.5714475515870894,72,73,3,3.0,213.35385614354163
radial_segment_3d,0.03,10000,1,3,hhcart_d,8,0.9432,0.8827563683866754,0.928228021978022,0.9049213257448946,0.9151547040181918,0.5693368135830741,107,108,3,3.0,218.71790826600045
radial_segment_3d,0.03,10000,1,3,hhcart_d,9,0.9545,0.9154147615937296,0.934644881627209,0.9249298795578288,0.9180698465479656,0.5743188445453331,153,154,3,3.0,222.7916340362281
radial_segment_3d,0.03,10000,1,3,hhcart_d,10,0.964,0.9412148922273024,0.9412148922273024,0.9412148922273024,0.9201873045623934,0.5660044734328025,206,207,3,3.0,224.2371454183012
radial_segment_3d,0.03,10000,1,3,hhcart_d,11,0.9699,0.9435009797517964,0.9575737487570434,0.9504852771837474,0.921225342913129,0.5670751000444414,249,250,3,3.0,225.3123023370281
radial_segment_3d,0.03,10000,1,3,hhcart_d,12,0.9754,0.956564337034618,0.962853385930309,0.9596985583224116,0.9216221242470426,0.5705528069966028,287,288,3,3.0,229.2610377734527
radial_segment_3d,0.03,10000,1,3,moc1,0,0.6938,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0013431645929813
radial_segment_3d,0.03,10000,1,3,moc1,1,0.6938,0.0,0.0,0.0,0.4663618549967343,0.4068023469901933,1,2,3,3.0,66.28270049300045
radial_segment_3d,0.03,10000,1,3,moc1,2,0.7925,0.8883082952318746,0.6108241634852908,0.7238855622089154,0.5697801001524059,0.5201140880373396,2,3,3,3.0,105.7398809697479
radial_segment_3d,0.03,10000,1,3,moc1,3,0.8194,0.8732854343566296,0.6534701857282502,0.7475538160469667,0.7037230568256043,0.5322238408073665,4,5,3,3.0,131.73562281858176
radial_segment_3d,0.03,10000,1,3,moc1,4,0.8378,0.8749183540169824,0.6837672281776417,0.767621776504298,0.7959666884389287,0.5546952177787126,7,8,3,3.0,150.08148787915707
radial_segment_3d,0.03,10000,1,3,moc1,5,0.8467,0.9255388634879164,0.6847064508335347,0.7871129009859742,0.7652950141519708,0.5372183631800118,11,12,3,3.0,167.90349763073027
radial_segment_3d,0.03,10000,1,3,moc1,6,0.8932,0.8465055519268452,0.812539184952978,0.8291746641074856,0.8112001100072193,0.5880952370439647,18,19,3,3.0,179.3954382641241
radial_segment_3d,0.03,10000,1,3,moc1,7,0.9112,0.8602220770738079,0.8513251454427925,0.8557504873294346,0.8441961369786319,0.5874313894682761,27,28,3,3.0,187.9740980528295
radial_segment_3d,0.03,10000,1,3,moc1,8,0.9244,0.8442194644023514,0.9025837988826816,0.8724265946675667,0.8693812718959684,0.56523211914309,43,44,3,3.0,204.2171330563724
radial_segment_3d,0.03,10000,1,3,moc1,9,0.9363,0.8977792292619203,0.8945655711031565,0.8961695191524042,0.903577634546418,0.5917574727562613,52,53,3,3.0,207.5080977557227
radial_segment_3d,0.03,10000,1,3,moc1,10,0.9465,0.9075767472240366,0.9168591224018476,0.9121943213523716,0.9228160191386056,0.5818436291661524,82,83,3,3.0,218.15461965743447
radial_segment_3d,0.03,10000,1,3,moc1,11,0.9566,0.9065969954278248,0.9493844049247606,0.9274974941530236,0.930133561566702,0.5651833872307517,115,116,3,3.0,224.6682358738035
radial_segment_3d,0.03,10000,1,3,moc1,12,0.9576,0.907250163291966,0.952021932830706,0.9290969899665552,0.91650616601629,0.5364096586490885,116,117,3,3.0,229.95423704292625
radial_segment_3d,0.03,10000,8,3,moc1,0,0.6938,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0013917600736021
radial_segment_3d,0.03,10000,8,3,moc1,1,0.6938,0.0,0.0,0.0,0.4696276943174395,0.4157933875509292,1,2,3,3.0,65.01582377776504
radial_segment_3d,0.03,10000,8,3,moc1,2,0.7838,0.9111691704768126,0.5961538461538461,0.7207439938000517,0.587197909862835,0.5350755000241585,2,3,3,3.0,102.59094477910548
radial_segment_3d,0.03,10000,8,3,moc1,3,0.8166,0.8925538863487916,0.6448796602170835,0.7487671232876711,0.6998040496407576,0.503538078660736,4,5,3,3.0,130.24727364443245
radial_segment_3d,0.03,10000,8,3,moc1,4,0.8422,0.8889614630960156,0.6873737373737374,0.7752776986613501,0.7722893533638147,0.4870017188082776,7,8,3,3.0,148.66541650425643
radial_segment_3d,0.03,10000,8,3,moc1,5,0.8722,0.8647942521227956,0.7539863325740319,0.8055978095527837,0.7554974961898544,0.5442586466035739,11,12,3,3.0,162.55935284122825
radial_segment_3d,0.03,10000,8,3,moc1,6,0.8637,0.9079033311561072,0.72002072002072,0.8031200346670518,0.8536310195356571,0.5023415194843084,21,22,3,3.0,180.64485364593563
radial_segment_3d,0.03,10000,8,3,moc1,7,0.88,0.6809274983670803,0.9033795493934142,0.776536312849162,0.8721283941401514,0.5684075392614125,34,35,3,3.0,192.59686492104083
radial_segment_3d,0.03,10000,8,3,moc1,8,0.9329,0.8772044415414761,0.901039919490104,0.8889624358762204,0.8943223691507585,0.5721426616361296,52,53,3,3.0,204.68150066304952
radial_segment_3d,0.03,10000,8,3,moc1,9,0.9443,0.8768778576094056,0.93717277486911,0.9060232832799056,0.9064485481859744,0.5575971833431601,65,66,3,3.0,209.58960979525
radial_segment_3d,0.03,10000,8,3,moc1,10,0.9499,0.8827563683866754,0.9500878734622143,0.915185373285932,0.9173192229504108,0.5486790344899415,88,89,3,3.0,216.499254825525
radial_segment_3d,0.03,10000,8,3,moc1,11,0.9553,0.912148922273024,0.9400875126220128,0.9259075087021384,0.9279612918772552,0.5589747409105867,102,103,3,3.0,221.16862912848592
radial_segment_3d,0.03,10000,8,3,moc1,12,0.9616,0.9160679294578706,0.9566848567530696,0.935935935935936,0.9362600016329194,0.5990278944844081,127,128,3,3.0,228.04477617703375
radial_segment_3d,0.03,10000,11,3,moc1,0,0.6938,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0013582650572061
radial_segment_3d,0.03,10000,11,3,moc1,1,0.6938,0.0,0.0,0.0,0.4875898105813194,0.4602132628279323,1,2,3,3.0,66.44822040013969
radial_segment_3d,0.03,10000,11,3,moc1,2,0.7667,0.9467668190725016,0.5719076740974551,0.7130734227032346,0.622904419769214,0.5821460978768938,2,3,3,3.0,105.97428429406136
radial_segment_3d,0.03,10000,11,3,moc1,3,0.8274,0.9003919007184846,0.6598851124940163,0.7616022099447513,0.6673742651861527,0.5777663560411266,3,4,3,3.0,127.00535799842328
radial_segment_3d,0.03,10000,11,3,moc1,4,0.8432,0.8912475506205094,0.6884460141271443,0.7768289211500142,0.7570215545395165,0.5693507142569452,5,6,3,3.0,145.56251171790063
radial_segment_3d,0.03,10000,11,3,moc1,5,0.853,0.9255388634879164,0.6952894995093228,0.7940599607733259,0.7207344509761233,0.5564031344654976,8,9,3,3.0,163.7398334061727
radial_segment_3d,0.03,10000,11,3,moc1,6,0.8813,0.7171783148269105,0.8724672228843862,0.7872378562466391,0.7560884575907438,0.5675999343241638,13,14,3,3.0,176.1460036225617
radial_segment_3d,0.03,10000,11,3,moc1,7,0.9314,0.8736120182887002,0.8994620040349698,0.8863485752153745,0.8246954249850906,0.5500041040014092,22,23,3,3.0,182.4851637315005
radial_segment_3d,0.03,10000,11,3,moc1,8,0.9369,0.8654474199869366,0.9236667828511675,0.8936098465688754,0.8632701937731331,0.5658526359386287,35,36,3,3.0,194.4518912807107
radial_segment_3d,0.03,10000,11,3,moc1,9,0.9453,0.8817766165904638,0.9358752166377816,0.9080208508491676,0.8910928529684761,0.5413273478758791,56,57,3,3.0,203.88838321343064
