shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
barbell_2d,0.0,10000,1,2,cart,0,0.7378,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,7.93207436800003e-06
barbell_2d,0.0,10000,1,2,cart,1,0.7378,0.0,0.0,0.0,0.4885583524027461,0.4292744931881886,1,2,1,1.0,30.620722855441272
barbell_2d,0.0,10000,1,2,cart,2,0.7378,0.0,0.0,0.0,0.7311212814645309,0.5602536629771768,3,4,1,1.0,53.88531778939068
barbell_2d,0.0,10000,1,2,cart,3,0.7378,0.0,0.0,0.0,0.8579328756674296,0.6259496273488803,7,8,2,1.0,71.62846507970244
barbell_2d,0.0,10000,1,2,cart,4,0.74,0.0099160945842868,0.8666666666666667,0.0196078431372549,0.9108138238573024,0.7080112811619383,12,13,2,1.0,84.90079521015286
barbell_2d,0.0,10000,1,2,cart,5,0.7433,0.024790236460717,0.8666666666666667,0.0482017055988134,0.9326849733028222,0.6712824441271441,19,20,2,1.0,96.63487316295505
barbell_2d,0.0,10000,1,2,cart,6,0.7551,0.0827612509534706,0.8314176245210728,0.1505376344086021,0.9051223376166168,0.652703482942621,25,26,2,1.0,107.73424143251032
barbell_2d,0.0,10000,1,2,cart,7,0.9495,0.96186117467582,0.8616330714041681,0.908992611281312,0.9179252479023644,0.6377674174911474,34,35,2,1.0,112.26833111327142
barbell_2d,0.0,10000,1,2,cart,8,0.967,0.9549961861174676,0.9219440353460971,0.9381790932933683,0.914888333067248,0.6001981369602445,42,43,2,1.0,114.69361520931125
barbell_2d,0.0,10000,1,2,cart,9,0.9764,0.9881769641495042,0.926680972818312,0.9564414913252122,0.913876882221657,0.581617283104283,53,54,2,1.0,115.05548403784633
barbell_2d,0.0,10000,1,2,cart,10,0.9858,0.9908466819221968,0.9565537555228276,0.9733982765080554,0.9150891061646212,0.5788894970512859,65,66,2,1.0,114.02098491042852
barbell_2d,0.0,10000,1,2,cart,11,0.9889,0.9870327993897788,0.9711069418386492,0.9790051068658976,0.9187219255869136,0.568700379811133,80,81,2,1.0,119.30333453603087
barbell_2d,0.0,10000,1,2,cart,12,0.9936,0.9938977879481312,0.9819140919366992,0.9878695981804396,0.9174156817413326,0.5595174707297663,96,97,2,1.0,119.68522371258588
barbell_2d,0.0,10000,1,2,hhcart_a,0,0.7378,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,8.51508229970932e-06
barbell_2d,0.0,10000,1,2,hhcart_a,1,0.7378,0.0,0.0,0.0,0.4984744469870328,0.495844167641281,1,2,2,2.0,137.59822628833354
barbell_2d,0.0,10000,1,2,hhcart_a,2,0.8049,0.984744469870328,0.574671711551302,0.7257905832747716,0.7416094584286805,0.6943247185800085,3,4,2,2.0,220.13028457853943
barbell_2d,0.0,10000,1,2,hhcart_a,3,0.8472,0.9855072463768116,0.6342660775650466,0.7718040621266429,0.8510406450909886,0.6565439460514209,6,7,2,2.0,258.4899598872289
barbell_2d,0.0,10000,1,2,hhcart_a,4,0.8889,0.9813119755911518,0.7078404401650619,0.8224388684673166,0.9090389016018308,0.6601482494895905,11,12,2,2.0,291.6596403773874
barbell_2d,0.0,10000,1,2,hhcart_a,5,0.8909,0.9900839054157132,0.7090958754438678,0.8263568359064141,0.8918976184422409,0.6109539790431993,17,18,2,1.9411764705882355,313.5966449500993
barbell_2d,0.0,10000,1,2,hhcart_a,6,0.9395,0.8707093821510298,0.8956453511180855,0.8830013537033455,0.8914867509037243,0.6136026770777518,22,23,2,1.9090909090909087,321.65798574127257
barbell_2d,0.0,10000,1,2,hhcart_a,7,0.9567,0.9317315026697178,0.9058212829069336,0.9185937206241775,0.9014888267367294,0.6370318247529863,26,27,2,1.8461538461538465,329.20082186348736
barbell_2d,0.0,10000,1,2,hhcart_a,8,0.9668,0.9305873379099924,0.942084942084942,0.9363008442056792,0.9156655225019072,0.6591462775322814,31,32,2,1.8064516129032255,335.06003413908184
barbell_2d,0.0,10000,1,2,hhcart_a,9,0.9921,0.9965675057208238,0.9739098024599327,0.9851083883129124,0.9277369625436588,0.6609973512390945,37,38,2,1.7837837837837838,339.64470728486776
barbell_2d,0.0,10000,1,2,hhcart_a,10,0.9958,0.9969488939740656,0.9871601208459214,0.9920303605313092,0.9366895499618616,0.6685677435493544,43,44,2,1.744186046511628,344.859785689041
barbell_2d,0.0,10000,1,2,hhcart_a,11,0.9971,0.998093058733791,0.9909125331313896,0.9944898346950408,0.942090007627765,0.6556206527540616,49,50,2,1.7551020408163265,349.1624681977555
barbell_2d,0.0,10000,1,2,hhcart_a,12,0.9978,0.996186117467582,0.9954268292682928,0.995806328631338,0.9471368638988776,0.6424087169748007,55,56,2,1.7636363636363637,352.39334172103554
barbell_2d,0.0,10000,1,2,hhcart_d,0,0.7378,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,7.568858563899994e-06
barbell_2d,0.0,10000,1,2,hhcart_d,1,0.7378,0.0,0.0,0.0,0.4984744469870328,0.495844167641281,1,2,2,2.0,54.08888064697385
barbell_2d,0.0,10000,1,2,hhcart_d,2,0.8049,0.984744469870328,0.574671711551302,0.7257905832747716,0.7416094584286805,0.6943247185800085,3,4,2,2.0,86.75245715584606
barbell_2d,0.0,10000,1,2,hhcart_d,3,0.8472,0.9855072463768116,0.6342660775650466,0.7718040621266429,0.8510406450909886,0.6565439460514209,6,7,2,2.0,103.08369784522802
barbell_2d,0.0,10000,1,2,hhcart_d,4,0.8889,0.9813119755911518,0.7078404401650619,0.8224388684673166,0.9090389016018308,0.6601482494895905,11,12,2,2.0,116.48905218578876
barbell_2d,0.0,10000,1,2,hhcart_d,5,0.8909,0.9900839054157132,0.7090958754438678,0.8263568359064141,0.8918976184422409,0.6117196608413633,17,18,2,2.0,123.48041933123022
barbell_2d,0.0,10000,1,2,hhcart_d,6,0.937,0.8668954996186118,0.8899765074393109,0.8782843894899537,0.8894968991476802,0.5956609473367482,22,23,2,2.0,128.91549915075302
barbell_2d,0.0,10000,1,2,hhcart_d,7,0.9538,0.931350114416476,0.8964757709251101,0.9135802469135804,0.905783950130198,0.5988226591113706,28,29,2,2.0,130.01240362413228
barbell_2d,0.0,10000,1,2,hhcart_d,8,0.9621,0.9305873379099924,0.925293894577171,0.9279330671230273,0.917097090552468,0.6139657970011281,34,35,2,2.0,132.06154605187476
barbell_2d,0.0,10000,1,2,hhcart_d,9,0.9837,0.9950419527078566,0.945632475534614,0.9697082326705072,0.9207075660164908,0.5966551080040572,41,42,2,2.0,136.1135346191004
barbell_2d,0.0,10000,1,2,hhcart_d,10,0.9904,0.988558352402746,0.9751693002257336,0.9818181818181818,0.9295652173913044,0.6160757848019942,49,50,2,2.0,136.39575111493468
barbell_2d,0.0,10000,1,2,hhcart_d,11,0.9938,0.9984744469870328,0.9783258594917787,0.9882974707436768,0.9277560149452482,0.5936894944644158,58,59,2,2.0,137.5872663659975
barbell_2d,0.0,10000,1,2,hhcart_d,12,0.996,0.9950419527078566,0.9897572078907436,0.9923925446938,0.9319334140979048,0.5793368502043952,67,68,2,2.0,138.9953360389918
barbell_2d,0.0,10000,1,2,moc1,0,0.7378,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0014020539820194
barbell_2d,0.0,10000,1,2,moc1,1,0.7378,0.0,0.0,0.0,0.4950419527078564,0.4869111854881023,1,2,2,2.0,48.60020748898387
barbell_2d,0.0,10000,1,2,moc1,2,0.8097,0.9748283752860412,0.581834737081721,0.7287241625089095,0.6465802186625988,0.6358703912076797,2,3,2,2.0,74.83929854817688
barbell_2d,0.0,10000,1,2,moc1,3,0.8509,0.9702517162471396,0.6429112964366944,0.7733698130414955,0.7280701754385965,0.6932975902414398,3,4,2,2.0,83.89256676286459
barbell_2d,0.0,10000,1,2,moc1,4,0.8922,0.9637681159420288,0.7199430199430199,0.8242009132420092,0.7734553775743707,0.7171975310169996,4,5,2,2.0,100.75159192737192
barbell_2d,0.0,10000,1,2,moc1,5,0.8922,0.9637681159420288,0.7199430199430199,0.8242009132420092,0.6581489956775999,0.6532073820305957,5,6,2,2.0,107.1035923026502
barbell_2d,0.0,10000,1,2,moc1,6,0.9409,0.8619374523264683,0.9079951787866614,0.8843670514576405,0.6836384439359269,0.6728661201628741,7,8,2,2.0,111.35796062182636
