seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
8,barbell_2d_fuzziness_000,2,ridge_cart,0,0.7288,0.0,,,0.0,0.0,0,1,0.00036524608731269836
8,barbell_2d_fuzziness_000,2,ridge_cart,1,0.7288,0.0,,,0.4948377581120944,0.46537823956229096,1,2,12.02281105518341
8,barbell_2d_fuzziness_000,2,ridge_cart,2,0.7288,0.0,,,0.7337758112094395,0.5539482280334027,3,4,20.027231643907726
8,barbell_2d_fuzziness_000,2,ridge_cart,3,0.762,0.3525073746312684,0.6050632911392405,0.445479962721342,0.7408343868520859,0.5744181973338223,6,7,25.80233645113185
8,barbell_2d_fuzziness_000,2,ridge_cart,4,0.8314,0.7212389380530974,0.6777546777546778,0.6988210075026796,0.7232502011263071,0.5348412171980612,10,11,29.4464428499341
8,barbell_2d_fuzziness_000,2,ridge_cart,5,0.8744,0.7042772861356932,0.8079526226734348,0.7525610717100077,0.7876973798368903,0.5870785144912121,16,17,31.64038803987205
8,barbell_2d_fuzziness_000,2,ridge_cart,6,0.9202,0.8443952802359882,0.8589647411852963,0.8516177017478617,0.8552303154073064,0.6292961583083039,25,26,33.29816765990108
8,barbell_2d_fuzziness_000,2,ridge_cart,7,0.9562,0.866519174041298,0.9686727122835944,0.9147528221097704,0.8887062789717659,0.6263744875110635,34,35,34.40717682428658
8,barbell_2d_fuzziness_000,2,ridge_cart,8,0.9738,0.9904129793510325,0.919233401779603,0.9534966276180333,0.904026891678672,0.6208418358517975,42,43,34.77860613213852
8,barbell_2d_fuzziness_000,2,ridge_cart,9,0.9826,0.9837758112094396,0.9535382416011436,0.968421052631579,0.910619469026549,0.5968681508889007,49,50,34.94035352719948
8,barbell_2d_fuzziness_000,2,ridge_cart,10,0.9846,0.9941002949852508,0.9513055751587862,0.9722322394518573,0.9066153173822789,0.5750418424185908,53,54,35.102594897616655
8,barbell_2d_fuzziness_000,2,ridge_cart,11,0.9884,0.9941002949852508,0.9642346208869814,0.9789397240377634,0.9140915905024418,0.5667409569735005,60,61,35.70363800507039
8,barbell_2d_fuzziness_000,2,ridge_cart,12,0.9908,0.9926253687315634,0.9739507959479016,0.983199415631848,0.9145713349253175,0.5632101344857212,62,63,35.609729344025254
