seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
8,barbell_3d_fuzziness_003,3,co2,0,0.803,0.0,,,0.0,0.0,0,1,0.00023385975509881973
8,barbell_3d_fuzziness_003,3,co2,1,0.803,0.0,,,0.45482233502538083,0.26520410996945265,1,2,0.07816985575482249
8,barbell_3d_fuzziness_003,3,co2,2,0.803,0.0,,,0.7101522842639594,0.4789081364174532,3,4,0.773742588236928
8,barbell_3d_fuzziness_003,3,co2,3,0.803,0.0,,,0.7353154459753444,0.5667091892702392,6,7,2.0507374620065093
8,barbell_3d_fuzziness_003,3,co2,4,0.803,0.0,,,0.696897913141568,0.6071080809942988,8,9,2.7741949330084026
8,barbell_3d_fuzziness_003,3,co2,5,0.8549,0.7055837563451777,0.6147722246793454,0.6570550697234696,0.7460478607686731,0.6450566674957328,13,14,3.3962808307260275
8,barbell_3d_fuzziness_003,3,co2,6,0.8886,0.8238578680203046,0.6790794979079497,0.7444954128440368,0.7503072401816726,0.655811632120346,18,19,5.263315875083208
8,barbell_3d_fuzziness_003,3,co2,7,0.9108,0.8243654822335026,0.7483870967741936,0.7845410628019324,0.7685279187817255,0.5763874053694629,28,29,5.07494591595605
8,barbell_3d_fuzziness_003,3,co2,8,0.893,0.8604060913705583,0.6807228915662651,0.7600896860986547,0.8224835953943295,0.6130245213648944,40,41,8.570072611793876
8,barbell_3d_fuzziness_003,3,co2,9,0.9132,0.8517766497461929,0.7444543034605147,0.7945075757575758,0.8439656065471877,0.6059682938653959,48,49,8.077688231132925
8,barbell_3d_fuzziness_003,3,co2,10,0.9083,0.8634517766497461,0.7241379310344828,0.7876823338735819,0.8398892478080298,0.587868681512544,54,55,8.609212575946003
8,barbell_3d_fuzziness_003,3,co2,11,0.9274,0.8370558375634518,0.802823758519961,0.8195825049701788,0.7989719205808645,0.5524747507785077,78,79,11.44207922136411
8,barbell_3d_fuzziness_003,3,co2,12,0.9191,0.8390862944162436,0.7706293706293706,0.8034021871202917,0.8296655718124815,0.5820377850344005,67,68,9.802304302807897
