seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
8,radial_segment_2d_fuzziness_000,2,oc1,0,0.6856,0.0,,,0.0,0.0,0,1,0.000417840201407671
8,radial_segment_2d_fuzziness_000,2,oc1,1,0.6856,0.0,,,0.4847328244274809,0.44451145958986715,1,2,16.566211845260113
8,radial_segment_2d_fuzziness_000,2,oc1,2,0.6856,0.0,,,0.6497031382527565,0.5968771608899615,2,3,27.096035319380462
8,radial_segment_2d_fuzziness_000,2,oc1,3,0.7022,0.9770992366412213,0.5138842422214788,0.673536505152379,0.7334605597964376,0.6777067118385787,3,4,36.06921569304541
8,radial_segment_2d_fuzziness_000,2,oc1,4,0.7816,0.9631043256997456,0.5941915227629513,0.7349514563106796,0.7725190839694658,0.6969315772929263,4,5,42.33265228709206
8,radial_segment_2d_fuzziness_000,2,oc1,5,0.7816,0.9631043256997456,0.5941915227629513,0.7349514563106796,0.6812977099236641,0.657157486128352,5,6,47.644610576331615
8,radial_segment_2d_fuzziness_000,2,oc1,6,0.8682,0.7213740458015268,0.83690036900369,0.7748548001366586,0.6283396946564888,0.6419205978759204,7,8,51.872333177831024
8,radial_segment_2d_fuzziness_000,2,oc1,7,0.9242,0.8842239185750637,0.8758664146187776,0.8800253244697689,0.7068008327550315,0.6207435953942342,10,11,55.83450261875987
8,radial_segment_2d_fuzziness_000,2,oc1,8,0.9604,0.9402035623409669,0.934260429835651,0.9372225745085605,0.777608142493639,0.632121513640203,14,15,59.00915244407952
8,radial_segment_2d_fuzziness_000,2,oc1,9,0.9614,0.9440203562340967,0.933920704845815,0.938943372350522,0.7779191405145605,0.5673282474295085,17,18,59.896801862400025
8,radial_segment_2d_fuzziness_000,2,oc1,10,0.965,0.9083969465648855,0.9787525702535984,0.9422632794457274,0.799588028595662,0.5828711446114951,20,21,60.927225900348276
8,radial_segment_2d_fuzziness_000,2,oc1,11,0.9746,0.9414758269720102,0.976897689768977,0.9588597343699384,0.7883587786259543,0.584867776738661,19,20,60.51670066593215
