seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
1,radial_segment_3d_fuzziness_000,3,ridge_cart,0,0.7602,0.0,,,0.0,0.0,0,1,0.00027372315526008606
1,radial_segment_3d_fuzziness_000,3,ridge_cart,1,0.7602,0.0,,,0.4662218515429526,0.37575680059465744,1,2,57.3903814391233
1,radial_segment_3d_fuzziness_000,3,ridge_cart,2,0.7602,0.0,,,0.6411592994161801,0.43980902074965966,3,4,94.34848021483049
1,radial_segment_3d_fuzziness_000,3,ridge_cart,3,0.7856,0.804837364470392,0.5352190793122573,0.64290473017988,0.7890950792326941,0.5887569306549754,7,8,113.90684328693897
1,radial_segment_3d_fuzziness_000,3,ridge_cart,4,0.8302,0.9216013344453712,0.5940860215053764,0.7224583197123243,0.8724457881567971,0.6548112048456274,15,16,128.83761248970404
1,radial_segment_3d_fuzziness_000,3,ridge_cart,5,0.858,0.9115929941618015,0.64407778432528,0.7548342541436464,0.9063803169307758,0.6215348479867444,27,28,137.71648832317442
1,radial_segment_3d_fuzziness_000,3,ridge_cart,6,0.87,0.6663886572143453,0.7616777883698761,0.7108540925266903,0.9103326846446114,0.6122669158533283,44,45,145.66691449889913
1,radial_segment_3d_fuzziness_000,3,ridge_cart,7,0.8908,0.9616346955796498,0.6975196612220206,0.808555399719495,0.9303646758772404,0.6242822003503057,68,69,152.76114618731663
1,radial_segment_3d_fuzziness_000,3,ridge_cart,8,0.911,0.8073394495412844,0.8189509306260575,0.8131037379252415,0.9293407588761242,0.6116045229176621,92,93,154.29598943702877
1,radial_segment_3d_fuzziness_000,3,ridge_cart,9,0.9422,0.9432860717264387,0.8365384615384616,0.8867110936887496,0.918857820113252,0.5900265000850062,113,114,156.6640639337711
1,radial_segment_3d_fuzziness_000,3,ridge_cart,10,0.9557,0.9107589658048374,0.9050973891421467,0.9079193514861776,0.913662148482514,0.5816890986120082,130,131,157.57437135418877
1,radial_segment_3d_fuzziness_000,3,ridge_cart,11,0.9718,0.963302752293578,0.9225239616613419,0.9424724602203183,0.9075419992851188,0.5794506148574612,146,147,160.53149239718914
1,radial_segment_3d_fuzziness_000,3,ridge_cart,12,0.9798,0.9570475396163469,0.9586466165413534,0.9578464106844742,0.9021745763746214,0.5733699869288649,163,164,160.53072297666222
