seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
1,radial_segment_3d_fuzziness_005,3,hhcart_a,0,0.6471,0.0,,,0.0,0.0,0,1,9.182840585708618e-06
1,radial_segment_3d_fuzziness_005,3,hhcart_a,1,0.6471,0.0,,,0.4708132615471805,0.4032178182974633,1,2,239.56442435691133
1,radial_segment_3d_fuzziness_005,3,hhcart_a,2,0.7609,0.9243411731368659,0.6056442629038248,0.7318003365114976,0.6941768206290733,0.5502161045358127,3,4,397.7479696078226
1,radial_segment_3d_fuzziness_005,3,hhcart_a,3,0.8177,0.8554831396996316,0.6969067405355494,0.7680956621295001,0.8004746387078492,0.5214120055715681,7,8,490.1693804790266
1,radial_segment_3d_fuzziness_005,3,hhcart_a,4,0.8383,0.9079059223576084,0.7126334519572953,0.7985046728971963,0.8734237744403515,0.538002509802485,15,16,556.985980567988
1,radial_segment_3d_fuzziness_005,3,hhcart_a,5,0.8488,0.9138566166052706,0.7274983081434694,0.8100979653353428,0.8857413573250212,0.5470048063606683,31,32,608.5578797329217
1,radial_segment_3d_fuzziness_005,3,hhcart_a,6,0.8934,0.8631340323037687,0.8393496831082943,0.8510757194747137,0.9067775169007815,0.5499573833698375,55,56,646.207628222648
1,radial_segment_3d_fuzziness_005,3,hhcart_a,7,0.9029,0.9215075092094077,0.8241256969082615,0.8701003344481605,0.9149994239254655,0.5279224708824801,90,91,669.1030710940249
1,radial_segment_3d_fuzziness_005,3,hhcart_a,8,0.9171,0.8809861150467555,0.8837407617964753,0.8823612884915566,0.920496360066948,0.5319422883776224,138,139,686.0805364637636
1,radial_segment_3d_fuzziness_005,3,hhcart_a,9,0.9268,0.9169736469254747,0.8805442176870748,0.8983897834536367,0.9197315444377598,0.5493761430481823,186,187,702.7732477891259
1,radial_segment_3d_fuzziness_005,3,hhcart_a,10,0.9403,0.9011051289317087,0.9276546091015169,0.9141871496334627,0.9119631047351002,0.5421825694616387,235,236,706.5023468183354
1,radial_segment_3d_fuzziness_005,3,hhcart_a,11,0.9534,0.9308586001700199,0.9366980325064157,0.9337691870380899,0.9043274377381065,0.5254212264249261,287,288,722.7836064677685
1,radial_segment_3d_fuzziness_005,3,hhcart_a,12,0.9591,0.9396429583451402,0.9441913439635535,0.941911660275529,0.9012484888522991,0.526755993523013,337,338,724.8574079051614
