seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
1,radial_segment_3d_fuzziness_005,3,wodt,0,0.6471,0.0,,,0.0,0.0,0,1,0.0003264280967414379
1,radial_segment_3d_fuzziness_005,3,wodt,1,0.6683,0.42136582601303485,0.5383779869659667,0.47273883325385474,0.07863417398696515,0.1561583280039942,1,2,0.01672795182093978
1,radial_segment_3d_fuzziness_005,3,wodt,2,0.6747,0.331255313119864,0.566925315227934,0.41817206224289033,0.2083451402663643,0.17350973409350368,3,4,0.03948460705578327
1,radial_segment_3d_fuzziness_005,3,wodt,3,0.6585,0.6608104278832531,0.5125274725274725,0.5772991706894418,0.5094118123304865,0.278760094801378,7,8,0.06513219885528088
1,radial_segment_3d_fuzziness_005,3,wodt,4,0.5756,0.6681779540946444,0.4341741852329221,0.5263392857142857,0.6393261031968882,0.4323224322153003,15,16,0.10787010472267866
1,radial_segment_3d_fuzziness_005,3,wodt,5,0.6237,0.6364409181071125,0.4752433347439695,0.5441550575408842,0.6810179937659395,0.44803429887656887,30,31,0.17203539097681642
1,radial_segment_3d_fuzziness_005,3,wodt,6,0.7078,0.626239727968263,0.5795961185418306,0.6020157995096703,0.7006588268631337,0.4785795468733307,58,59,0.3008998669683933
1,radial_segment_3d_fuzziness_005,3,wodt,7,0.6198,0.5304618872201757,0.46601941747572817,0.4961569043201697,0.7163655579637447,0.5231501659576814,102,103,0.459006005898118
1,radial_segment_3d_fuzziness_005,3,wodt,8,0.6724,0.6310569566449419,0.5301118781242561,0.5761966364812419,0.7223061826348873,0.5452217892085658,163,164,0.7044970719143748
1,radial_segment_3d_fuzziness_005,3,wodt,9,0.6571,0.44970246528761687,0.5162654521795705,0.48069059518400725,0.7701544346840465,0.5582573410104552,255,256,1.073618995025754
1,radial_segment_3d_fuzziness_005,3,wodt,10,0.5947,0.49617455369793145,0.43492300049677096,0.46353408338848445,0.7653367988717452,0.5670906363904349,371,372,1.4990783650428057
1,radial_segment_3d_fuzziness_005,3,wodt,11,0.6036,0.40153017852082745,0.43346589171000305,0.41688731979994115,0.7789387928591669,0.5597831848357087,501,502,1.995830761268735
1,radial_segment_3d_fuzziness_005,3,wodt,12,0.5897,0.41569849815811843,0.41818700114025087,0.41693903652124487,0.7834908275530696,0.561191965747303,644,645,2.413698321674019
