seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
8,radial_segment_3d_fuzziness_007,3,co2,0,0.6156,0.0,,,0.0,0.0,0,1,0.00023694336414337158
8,radial_segment_3d_fuzziness_007,3,co2,1,0.6156,0.0,,,0.40166493236212264,0.2413002689056789,1,2,11.974631901830435
8,radial_segment_3d_fuzziness_007,3,co2,2,0.6813,0.7572840790842872,0.5636011616650533,0.6462426462426462,0.5763527575442247,0.3841216643236893,3,4,13.324395674280822
8,radial_segment_3d_fuzziness_007,3,co2,3,0.7278,0.8015088449531738,0.6113095238095239,0.6936064835659613,0.6746692433477035,0.4484118578857148,6,7,15.844286255072802
8,radial_segment_3d_fuzziness_007,3,co2,4,0.7929,0.7117585848074922,0.7396593673965937,0.72544080604534,0.7099375650364204,0.4675002822266907,11,12,17.509098316077143
8,radial_segment_3d_fuzziness_007,3,co2,5,0.8164,0.7562434963579605,0.7637940094587493,0.7600000000000001,0.7111226731414035,0.4711258768366342,17,18,16.33820710098371
8,radial_segment_3d_fuzziness_007,3,co2,6,0.8279,0.8168574401664932,0.7553524176088525,0.7849018872640919,0.7612262867205635,0.45843760873997086,25,26,20.500215948093683
8,radial_segment_3d_fuzziness_007,3,co2,7,0.8403,0.8655046826222684,0.7549353301565691,0.8064477033086899,0.7979926823537309,0.50047013693748,30,31,20.89591565914452
8,radial_segment_3d_fuzziness_007,3,co2,8,0.8652,0.836888657648283,0.8169121381411885,0.8267797481367258,0.7341873611384537,0.4300057227594416,36,37,18.723742980975658
8,radial_segment_3d_fuzziness_007,3,co2,9,0.8692,0.8470343392299687,0.8189134808853119,0.8327365728900256,0.7482830385015611,0.4294258496752599,44,45,18.570340124424547
8,radial_segment_3d_fuzziness_007,3,co2,10,0.8794,0.8231009365244537,0.8574525745257453,0.8399256702946643,0.8142691552839212,0.42323556537992446,78,79,20.11926972027868
8,radial_segment_3d_fuzziness_007,3,co2,11,0.8771,0.8296045785639958,0.8474621312782354,0.8384382805310898,0.84203532356498,0.47174108926688807,73,74,19.257173107005656
8,radial_segment_3d_fuzziness_007,3,co2,12,0.8843,0.8524973985431842,0.8474269459529351,0.8499546102969784,0.846360698833452,0.4824798704377551,94,95,21.559742567129433
