seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
8,rectangle_2d_fuzziness_003,2,oc1,0,0.6932,0.0,,,0.0,0.0,0,1,0.0004434003494679928
8,rectangle_2d_fuzziness_003,2,oc1,1,0.6932,0.0,,,0.4791395045632334,0.4194421841943843,1,2,16.051462694071233
8,rectangle_2d_fuzziness_003,2,oc1,2,0.6952,0.9282920469361148,0.5017618040873855,0.6514181152790486,0.6049543676662323,0.5208452183653296,2,3,26.88869201205671
8,rectangle_2d_fuzziness_003,2,oc1,3,0.8664,0.863102998696219,0.7429854096520763,0.798552472858866,0.6930899608865708,0.5791415859138074,4,5,35.229840198066086
8,rectangle_2d_fuzziness_003,2,oc1,4,0.9152,0.848109517601043,0.8719839142091153,0.8598810310641111,0.7728161668839635,0.6188721282916851,7,8,40.8117912998423
8,rectangle_2d_fuzziness_003,2,oc1,5,0.9538,0.9165580182529335,0.9317428760768721,0.9240880709825829,0.8258365927857454,0.64280676205942,11,12,44.55702965706587
8,rectangle_2d_fuzziness_003,2,oc1,6,0.9572,0.9282920469361148,0.9319371727748691,0.9301110385369039,0.8652504026382393,0.605239322775694,16,17,45.93563727475703
8,rectangle_2d_fuzziness_003,2,oc1,7,0.9594,0.9119947848761408,0.9536468984321745,0.9323558813728757,0.8889518734765605,0.5538327068196984,22,23,46.940911217126995
8,rectangle_2d_fuzziness_003,2,oc1,8,0.9626,0.924380704041721,0.9523169912693082,0.9381409196162752,0.9284257680607093,0.5919316341572833,38,39,49.77148526487872
8,rectangle_2d_fuzziness_003,2,oc1,9,0.964,0.9295958279009127,0.951935914552737,0.9406332453825857,0.9231437836392204,0.5084706819088052,38,39,49.469044297002256
8,rectangle_2d_fuzziness_003,2,oc1,10,0.964,0.9308996088657105,0.9507323568575233,0.9407114624505929,0.9348676378890086,0.5362182487584068,45,46,50.32816371368244
8,rectangle_2d_fuzziness_003,2,oc1,11,0.968,0.9348109517601043,0.9598393574297188,0.9471598414795245,0.9421162641501626,0.5183621611691203,62,63,52.68647079914808
8,rectangle_2d_fuzziness_003,2,oc1,12,0.9702,0.9458930899608866,0.956493078444298,0.9511635529334646,0.9460635843947449,0.5496819711862817,64,65,53.85769136901945
