seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
8,rectangle_2d_fuzziness_003,2,randcart,0,0.6932,0.0,,,0.0,0.0,0,1,1.0674819350242615e-05
8,rectangle_2d_fuzziness_003,2,randcart,1,0.6932,0.0,,,0.45436766623207303,0.3614753913173856,1,2,6.708206784911454
8,rectangle_2d_fuzziness_003,2,randcart,2,0.6932,0.0,,,0.6945893089960888,0.5812834198969636,3,4,11.108435437083244
8,rectangle_2d_fuzziness_003,2,randcart,3,0.8628,0.8076923076923077,0.7601226993865031,0.7831858407079647,0.7910691003911341,0.6412117226552414,7,8,13.903777908999473
8,rectangle_2d_fuzziness_003,2,randcart,4,0.8864,0.8455019556714471,0.7966830466830467,0.8203668564199873,0.8736147327249022,0.6898030994290054,15,16,15.6407073372975
8,rectangle_2d_fuzziness_003,2,randcart,5,0.9146,0.9217731421121251,0.821615339918652,0.8688172043010753,0.9003281931394145,0.6244696035934532,28,29,16.899578693322837
8,rectangle_2d_fuzziness_003,2,randcart,6,0.9534,0.9172099087353325,0.9299405155320555,0.9235313423039055,0.9160258627570976,0.6110036180583707,48,49,17.374401562847197
8,rectangle_2d_fuzziness_003,2,randcart,7,0.9582,0.9380704041720991,0.9265936896329684,0.9322967282150955,0.9366256739138095,0.59799638856573,73,74,18.245334256906062
8,rectangle_2d_fuzziness_003,2,randcart,8,0.9644,0.9308996088657105,0.952,0.941331575477917,0.9289253119761596,0.5740694435737379,104,105,18.762078441213816
8,rectangle_2d_fuzziness_003,2,randcart,9,0.969,0.9302477183833116,0.967457627118644,0.9484878697241608,0.9267295002836471,0.5604034541991503,130,131,18.71751844789833
8,rectangle_2d_fuzziness_003,2,randcart,10,0.9698,0.9387222946544981,0.9619238476953907,0.9501814582645992,0.9324220885729908,0.5709822242455362,154,155,20.1675637899898
8,rectangle_2d_fuzziness_003,2,randcart,11,0.973,0.9458930899608866,0.9654025282767797,0.9555482383931511,0.9271713812753615,0.5644703035062519,177,178,19.848488168790936
8,rectangle_2d_fuzziness_003,2,randcart,12,0.974,0.953715775749674,0.9612352168199737,0.9574607329842932,0.9195518856535805,0.5497949964599094,188,189,20.52915502525866
