seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
11,rectangle_2d_fuzziness_005,2,hhcart_a,0,0.637,0.0,,,0.0,0.0,0,1,1.1249445378780365e-05
11,rectangle_2d_fuzziness_005,2,hhcart_a,1,0.637,0.0,,,0.4542699724517907,0.3431204767500675,1,2,27.841081753838807
11,rectangle_2d_fuzziness_005,2,hhcart_a,2,0.7288,0.8578512396694215,0.5864406779661017,0.6966442953020133,0.6544077134986226,0.4965469253911834,3,4,47.03218111675233
11,rectangle_2d_fuzziness_005,2,hhcart_a,3,0.8032,0.8143250688705234,0.6955294117647058,0.750253807106599,0.7755509641873279,0.5782540537485605,7,8,58.09382271487266
11,rectangle_2d_fuzziness_005,2,hhcart_a,4,0.8692,0.781267217630854,0.8465671641791045,0.8126074498567335,0.8483815426997243,0.6464809561149254,15,16,66.00225442321971
11,rectangle_2d_fuzziness_005,2,hhcart_a,5,0.8846,0.8330578512396695,0.8465845464725644,0.8397667314634825,0.8763820018365474,0.6331617661157993,29,30,69.55274685891345
11,rectangle_2d_fuzziness_005,2,hhcart_a,6,0.9034,0.8776859504132232,0.8592233009708737,0.8683565004088307,0.8974882514989468,0.6093571047535673,50,51,73.57691254094243
11,rectangle_2d_fuzziness_005,2,hhcart_a,7,0.9244,0.8567493112947658,0.9294680215182307,0.8916284403669725,0.8991241082150172,0.5619108787952338,77,78,77.79363732319325
11,rectangle_2d_fuzziness_005,2,hhcart_a,8,0.9318,0.8738292011019284,0.934040047114252,0.9029319669797894,0.8929952202679479,0.5429159269261696,116,117,80.71641733171418
11,rectangle_2d_fuzziness_005,2,hhcart_a,9,0.944,0.8931129476584022,0.9496192149970709,0.9204997160704146,0.8925883769650782,0.5438001691274996,166,167,84.45050064474344
11,rectangle_2d_fuzziness_005,2,hhcart_a,10,0.9546,0.9217630853994491,0.9516496018202503,0.9364679541001959,0.8921938158131872,0.5362034524009858,213,214,87.29009883711115
11,rectangle_2d_fuzziness_005,2,hhcart_a,11,0.9584,0.9300275482093664,0.9542114188807236,0.9419642857142857,0.8851661779081132,0.5273862034264323,247,248,88.50820808997378
11,rectangle_2d_fuzziness_005,2,hhcart_a,12,0.9632,0.943801652892562,0.9543175487465181,0.9490304709141275,0.881659754387027,0.5219197568273206,272,273,85.52539275819436
