seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
1,rectangle_2d_fuzziness_007,2,hhcart_d,0,0.5948,0.0,,,0.0,0.0,0,1,8.51508229970932e-06
1,rectangle_2d_fuzziness_007,2,hhcart_d,1,0.5948,0.0,,,0.43928923988154,0.29436783914558595,1,2,13.817768543958664
1,rectangle_2d_fuzziness_007,2,hhcart_d,2,0.7198,0.8213228035538006,0.6156122826489087,0.7037428631846057,0.6196939782823296,0.3869198326691812,3,4,23.339505325071514
1,rectangle_2d_fuzziness_007,2,hhcart_d,3,0.7774,0.7857847976307996,0.7010127697049758,0.740982080521294,0.7375370187561701,0.45879469388130056,7,8,28.741491719149053
1,rectangle_2d_fuzziness_007,2,hhcart_d,4,0.8366,0.7596248766041461,0.8234349919743178,0.7902439024390245,0.821137709772952,0.5794677256420016,15,16,32.6401151958853
1,rectangle_2d_fuzziness_007,2,hhcart_d,5,0.852,0.8188548864758144,0.8164370078740157,0.8176441596845736,0.8580330700888448,0.5581601066258612,31,32,35.344786814879626
1,rectangle_2d_fuzziness_007,2,hhcart_d,6,0.8694,0.815893385982231,0.8551474392136575,0.8350593584238444,0.8755999591517174,0.5256296345006941,57,58,36.82232818193734
1,rectangle_2d_fuzziness_007,2,hhcart_d,7,0.8914,0.8331688055281342,0.8917062863180137,0.8614442459811176,0.8818025246266619,0.5486894135907445,93,94,38.41320892190561
1,rectangle_2d_fuzziness_007,2,hhcart_d,8,0.9084,0.8469891411648569,0.9206008583690987,0.8822622107969151,0.8735870305743645,0.5361042961124696,141,142,40.351081477012485
1,rectangle_2d_fuzziness_007,2,hhcart_d,9,0.9234,0.8721618953603159,0.9344262295081968,0.9022210875670156,0.8689536031589338,0.5307157282873824,199,200,40.94884893298149
1,rectangle_2d_fuzziness_007,2,hhcart_d,10,0.9318,0.8790720631786771,0.9488545551411828,0.9126313092492954,0.8645629628517484,0.5207878766165897,262,263,41.656758847180754
1,rectangle_2d_fuzziness_007,2,hhcart_d,11,0.943,0.9210266535044422,0.9372174786539428,0.9290515309932785,0.8582434758397248,0.5151706353266341,311,312,42.716351666953415
1,rectangle_2d_fuzziness_007,2,hhcart_d,12,0.9484,0.9318854886475815,0.9402390438247012,0.9360436291522064,0.8521373309763769,0.5080646258069843,343,344,42.77414077706635
