seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
8,rectangle_2d_fuzziness_007,2,wodt,0,0.5948,0.0,,,0.0,0.0,0,1,0.0003131590783596039
8,rectangle_2d_fuzziness_007,2,wodt,1,0.5948,0.0,,,0.0,0.0,1,2,0.008198856376111507
8,rectangle_2d_fuzziness_007,2,wodt,2,0.5948,0.0,,,0.4486673247778876,0.29919915447532963,2,3,0.038839972112327814
8,rectangle_2d_fuzziness_007,2,wodt,3,0.6484,0.7936821322803553,0.5454545454545454,0.646562123039807,0.6199407699901283,0.4223970902160854,4,5,0.05709526129066944
8,rectangle_2d_fuzziness_007,2,wodt,4,0.7748,0.7156959526159921,0.725,0.7203179334326875,0.6771964461994076,0.4926649584265579,8,9,0.08946201112121344
8,rectangle_2d_fuzziness_007,2,wodt,5,0.8104,0.6870681145113524,0.8159437280187574,0.7459807073954985,0.7720631786771963,0.559109966504411,15,16,0.12606329377740622
8,rectangle_2d_fuzziness_007,2,wodt,6,0.783,0.8361303060217177,0.6922762566407846,0.757433489827856,0.814083580125041,0.553687040180262,28,29,0.1964613487944007
8,rectangle_2d_fuzziness_007,2,wodt,7,0.7896,0.8297137216189536,0.7039363484087102,0.7616674218396013,0.8256827903915762,0.5283334055002507,52,53,0.3371784230694175
8,rectangle_2d_fuzziness_007,2,wodt,8,0.791,0.8321816386969397,0.7051442910915935,0.7634140819560787,0.8519830439579583,0.5571538269096787,87,88,0.4968826901167631
8,rectangle_2d_fuzziness_007,2,wodt,9,0.8046,0.7996051332675223,0.7393884071200365,0.7683187099834005,0.8621695733245585,0.552504843461092,141,142,0.7490662271156907
8,rectangle_2d_fuzziness_007,2,wodt,10,0.6644,0.8741362290227048,0.5544771446462117,0.678544061302682,0.8517993359059499,0.5179879677328569,213,214,1.0350749222561717
8,rectangle_2d_fuzziness_007,2,wodt,11,0.6652,0.8820335636722606,0.5546244568590938,0.6810213414634146,0.8456729187232641,0.5202449596936816,301,302,1.3299066117033362
8,rectangle_2d_fuzziness_007,2,wodt,12,0.6598,0.8780848963474828,0.5502629137024435,0.6765544780376498,0.8536847074981759,0.528076490379384,405,406,1.6051511550322175
