seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
11,saddle_3d_fuzziness_005,3,randcart,0,0.5045,0.0,,,0.0,0.0,0,1,8.570030331611633e-06
11,saddle_3d_fuzziness_005,3,randcart,1,0.5522,0.929364278506559,0.5273102026794916,0.6728521332554062,0.429364278506559,0.1562230593903895,1,2,40.465231926646084
11,saddle_3d_fuzziness_005,3,randcart,2,0.6871,0.9194752774974773,0.6253088114191601,0.7443836287884977,0.6391019172552979,0.40515360462126093,3,4,73.40598186664283
11,saddle_3d_fuzziness_005,3,randcart,3,0.7563,0.6801210898082745,0.7981999052581715,0.7344448076713523,0.7020938446014129,0.39480574286349435,7,8,90.66674803989008
11,saddle_3d_fuzziness_005,3,randcart,4,0.8274,0.8972754793138245,0.7850962387427158,0.8374458466754567,0.8198158425832496,0.4647717139592229,15,16,107.16533165611327
11,saddle_3d_fuzziness_005,3,randcart,5,0.8266,0.7997981836528759,0.8422954303931988,0.820496894409938,0.860675108232154,0.4126039780522921,30,31,129.26449075434357
11,saddle_3d_fuzziness_005,3,randcart,6,0.9074,0.9182643794147326,0.897258923289292,0.9076401356473169,0.8602143428790148,0.43247730234458515,57,58,109.28343405434862
11,saddle_3d_fuzziness_005,3,randcart,7,0.9065,0.9243188698284561,0.8910505836575876,0.9073798910351659,0.9052265847169985,0.4949530501727919,87,88,133.22495251195505
11,saddle_3d_fuzziness_005,3,randcart,8,0.9131,0.9265388496468214,0.9009026687598116,0.9135409411998806,0.8863956055628479,0.46158827806050273,132,133,141.17870155489072
11,saddle_3d_fuzziness_005,3,randcart,9,0.9334,0.9192734611503531,0.944824725160755,0.931873977086743,0.9072196157167083,0.47899637638247894,193,194,146.66380003094673
11,saddle_3d_fuzziness_005,3,randcart,10,0.9407,0.9432896064581231,0.937424789410349,0.9403480535157429,0.9203526074291266,0.5056460804627525,264,265,153.58462763624266
11,saddle_3d_fuzziness_005,3,randcart,11,0.9453,0.9374369323915237,0.9514543219991807,0.9443936159398191,0.9105893112922672,0.4967220902765941,266,267,167.01535118976608
11,saddle_3d_fuzziness_005,3,randcart,12,0.9564,0.9428859737638748,0.9682901554404145,0.9554192229038856,0.8929120526295098,0.4714037765344534,384,385,153.20954762632027
