seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
8,saddle_3d_fuzziness_007,3,co2,0,0.5277,1.0,0.5277,0.6908424428880016,0.0,0.0,0,1,0.00021326029673218727
8,saddle_3d_fuzziness_007,3,co2,1,0.6655,0.9458025393215842,0.62,0.7490057777444287,0.4458025393215841,0.30869565217391326,1,2,0.2064529829658568
8,saddle_3d_fuzziness_007,3,co2,2,0.7172,0.6088686753837408,0.8078953985416143,0.6944024205748865,0.5196607921167331,0.28820585908588514,3,4,14.406666232272983
8,saddle_3d_fuzziness_007,3,co2,3,0.7796,0.7636914913776767,0.8081010627631843,0.7852689010132501,0.5609958309645633,0.2717172245442179,7,8,16.441803256049752
8,saddle_3d_fuzziness_007,3,co2,4,0.7836,0.7606594656054576,0.8166836215666328,0.7876766091051806,0.723259969138309,0.4081465665994144,13,14,18.81305332481861
8,saddle_3d_fuzziness_007,3,co2,5,0.7864,0.7576274398332385,0.823480947476828,0.7891827872088432,0.7848662365804022,0.4310749829199121,22,23,28.32286417018622
8,saddle_3d_fuzziness_007,3,co2,6,0.7937,0.9175667993177942,0.7483771251931994,0.8243806929428791,0.8435022342851204,0.4187013190879889,30,31,25.43391106557101
8,saddle_3d_fuzziness_007,3,co2,7,0.8267,0.7538374076179648,0.9016319129646418,0.8211373722778408,0.8369479010941963,0.4117319132720161,53,54,24.37644551601261
8,saddle_3d_fuzziness_007,3,co2,8,0.8491,0.8338070873602426,0.8744038155802861,0.853623047822291,0.8237792937906641,0.4181762193039624,59,60,28.74050120310858
8,saddle_3d_fuzziness_007,3,co2,9,0.8571,0.8459351904491188,0.878740157480315,0.8620256831128705,0.856913124039332,0.4488924946574313,71,72,30.8835028167814
8,saddle_3d_fuzziness_007,3,co2,10,0.8881,0.8597688080348683,0.9229048006509357,0.8902187775924655,0.8456126732846461,0.41934159284587347,103,104,31.387310144025832
8,saddle_3d_fuzziness_007,3,co2,11,0.8489,0.8950161076369149,0.8315140845070422,0.862097289404034,0.9010584454551194,0.49818250598995073,95,96,32.99757041595876
8,saddle_3d_fuzziness_007,3,co2,12,0.8895,0.8724654159560357,0.9142176330420969,0.8928536798215844,0.8479024741201826,0.4185763406907377,117,118,34.34777332097292
