seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
8,saddle_3d_fuzziness_007,3,ridge_cart,0,0.5277,1.0,0.5277,0.6908424428880016,0.0,0.0,0,1,0.00025817006826400757
8,saddle_3d_fuzziness_007,3,ridge_cart,1,0.6655,0.9458025393215842,0.62,0.7490057777444287,0.4458025393215841,0.30869565217391326,1,2,55.399510986637324
8,saddle_3d_fuzziness_007,3,ridge_cart,2,0.8023,0.8483987113890468,0.791828793774319,0.8191382307199707,0.6394258101193859,0.3573401475839111,3,4,92.57948184013367
8,saddle_3d_fuzziness_007,3,ridge_cart,3,0.8089,0.9016486640136441,0.7736585365853659,0.8327645051194539,0.7272361190070114,0.3073404585971564,7,8,113.8342848229222
8,saddle_3d_fuzziness_007,3,ridge_cart,4,0.8249,0.8222474891036574,0.8421972049689441,0.8321027902962892,0.7738890468068977,0.4178556459600493,15,16,129.8836490670219
8,saddle_3d_fuzziness_007,3,ridge_cart,5,0.8558,0.8772029562251279,0.8535865756961092,0.8652336448598131,0.8119322847577537,0.48637807205282413,29,30,142.10675541125238
8,saddle_3d_fuzziness_007,3,ridge_cart,6,0.8735,0.8756869433390184,0.8835564053537285,0.8796040734748264,0.8663814168736224,0.4984239754586415,56,57,149.8370210439898
8,saddle_3d_fuzziness_007,3,ridge_cart,7,0.8925,0.9147242751563388,0.8853631694790902,0.8998042688041756,0.8845082433200684,0.5029497678432946,99,100,156.96076107537374
8,saddle_3d_fuzziness_007,3,ridge_cart,8,0.9106,0.9020276672351715,0.9266108623710336,0.9141540234299981,0.8878680127166179,0.5131764850725522,160,161,163.56784237595275
8,saddle_3d_fuzziness_007,3,ridge_cart,9,0.9212,0.921356831533068,0.9287488061127029,0.9250380517503805,0.8872449424258926,0.502378792597489,236,237,167.15966734290123
8,saddle_3d_fuzziness_007,3,ridge_cart,10,0.9304,0.9166192912639758,0.9497349302964854,0.9328833172613308,0.8825464264095149,0.48656331592898083,318,319,171.82454755483195
8,saddle_3d_fuzziness_007,3,ridge_cart,11,0.9381,0.9332954330111806,0.9485747303543913,0.9408730537778202,0.8790661512602806,0.4849507558629589,398,399,174.81243893876672
8,saddle_3d_fuzziness_007,3,ridge_cart,12,0.9475,0.9393594845556187,0.9602867105772956,0.9497078264201552,0.8777808772865252,0.4829784035390572,482,483,178.38583269529045
