seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
11,saddle_3d_fuzziness_007,3,wodt,0,0.5277,1.0,0.5277,0.6908424428880016,0.0,0.0,0,1,0.0004130653105676174
11,saddle_3d_fuzziness_007,3,wodt,1,0.4815,0.5671783210157286,0.507804546996946,0.5358517590188883,0.06717832101572863,0.02276864951372648,1,2,0.04094030987471342
11,saddle_3d_fuzziness_007,3,wodt,2,0.759,0.7856736782262649,0.7642396313364055,0.7748084470192488,0.34475080538184555,0.3006623408116471,3,4,0.06871768785640597
11,saddle_3d_fuzziness_007,3,wodt,3,0.7984,0.7676710252037142,0.8368105763272051,0.8007511365882585,0.6192202008717074,0.3034066184898154,7,8,0.11250637378543615
11,saddle_3d_fuzziness_007,3,wodt,4,0.7866,0.7214326321773735,0.8514873630060389,0.7810832991382848,0.7465100120017685,0.37431540827892373,15,16,0.15721194818615913
11,saddle_3d_fuzziness_007,3,wodt,5,0.7749,0.8091718779609627,0.774392455567646,0.7914002409415254,0.7924009854083758,0.4334450725944796,29,30,0.2392385182902217
11,saddle_3d_fuzziness_007,3,wodt,6,0.788,0.7267386772787569,0.849767338799025,0.7834525025536261,0.8118019306194406,0.4630995383546541,56,57,0.41585151571780443
11,saddle_3d_fuzziness_007,3,wodt,7,0.721,0.7242751563388289,0.7411285631180919,0.7326049453709027,0.7989880613985219,0.49562014737620985,100,101,0.6380599359981716
11,saddle_3d_fuzziness_007,3,wodt,8,0.7561,0.7354557513738866,0.7881803411860276,0.760905793549652,0.7808839563542085,0.48912049470573327,170,171,0.9947313251905143
11,saddle_3d_fuzziness_007,3,wodt,9,0.7475,0.7199166192912639,0.7839455220800661,0.7505680134347525,0.8010857580925799,0.48952629728470964,261,262,1.4730957141146064
11,saddle_3d_fuzziness_007,3,wodt,10,0.7677,0.758574947887057,0.7923594615993665,0.7750992351631328,0.8122331903457543,0.5021835862090662,385,386,2.071408092044294
11,saddle_3d_fuzziness_007,3,wodt,11,0.7362,0.7271176805002842,0.7620655412115194,0.7441815360744763,0.8164136585243622,0.5025235330248139,534,535,2.7932710251770914
11,saddle_3d_fuzziness_007,3,wodt,12,0.708,0.7252226643926474,0.7224844251463093,0.7238509551730662,0.8212468631740946,0.49152957659919094,695,696,3.4497117758728564
