seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
8,sine_wave_2d_fuzziness_003,2,randcart,0,0.773,0.0,,,0.0,0.0,0,1,1.086108386516571e-05
8,sine_wave_2d_fuzziness_003,2,randcart,1,0.773,0.0,,,0.4867841409691631,0.479549452369336,1,2,6.598060372285545
8,sine_wave_2d_fuzziness_003,2,randcart,2,0.773,0.0,,,0.7182819383259913,0.5612027443322183,3,4,10.161779575049877
8,sine_wave_2d_fuzziness_003,2,randcart,3,0.8472,0.813215859030837,0.6257627118644068,0.70727969348659,0.8069383259911895,0.5773089472934443,7,8,12.546585079748183
8,sine_wave_2d_fuzziness_003,2,randcart,4,0.9006,0.7145374449339207,0.8241869918699187,0.7654554034922132,0.8793502202643175,0.6478225309725296,15,16,14.699593083932996
8,sine_wave_2d_fuzziness_003,2,randcart,5,0.9134,0.7030837004405286,0.8926174496644296,0.7865943814687038,0.8993310491107849,0.5766846787443127,26,27,15.541380131151527
8,sine_wave_2d_fuzziness_003,2,randcart,6,0.9358,0.8898678414096917,0.8374792703150912,0.862879111490816,0.8959327937711303,0.5698367616658344,42,43,16.166851215995848
8,sine_wave_2d_fuzziness_003,2,randcart,7,0.95,0.9030837004405287,0.8798283261802575,0.891304347826087,0.903293475980701,0.559426569853503,62,63,17.513754028826952
8,sine_wave_2d_fuzziness_003,2,randcart,8,0.956,0.8801762114537445,0.9224376731301939,0.9008115419296664,0.9035943131758106,0.5527781601414419,87,88,16.10468695219606
8,sine_wave_2d_fuzziness_003,2,randcart,9,0.961,0.8969162995594714,0.9288321167883211,0.9125952487673687,0.8812422907488988,0.5317284605537145,99,100,17.050897801760584
8,sine_wave_2d_fuzziness_003,2,randcart,10,0.9684,0.9083700440528635,0.9502304147465438,0.9288288288288288,0.8820614148743202,0.5305650488185456,135,136,17.149411279708147
8,sine_wave_2d_fuzziness_003,2,randcart,11,0.9708,0.9066079295154185,0.9625818521983162,0.9337568058076225,0.8535106325121009,0.4978555908115503,161,162,17.115549488924444
8,sine_wave_2d_fuzziness_003,2,randcart,12,0.973,0.9171806167400881,0.9621072088724584,0.939106901217862,0.8584257152539092,0.5035761627287896,181,182,17.37348362710327
