seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
1,sine_wave_2d_fuzziness_003,2,ridge_cart,0,0.773,0.0,,,0.0,0.0,0,1,0.00026049278676509857
1,sine_wave_2d_fuzziness_003,2,ridge_cart,1,0.773,0.0,,,0.470044052863436,0.45721570581659265,1,2,11.848307717125863
1,sine_wave_2d_fuzziness_003,2,ridge_cart,2,0.8102,0.9400881057268723,0.547741273100616,0.6921829386960753,0.6988986784140969,0.543414255527447,3,4,17.483842111192644
1,sine_wave_2d_fuzziness_003,2,ridge_cart,3,0.8496,0.8044052863436123,0.6327096327096328,0.7083010085337471,0.7930616740088108,0.5294508798363793,7,8,21.495144720189273
1,sine_wave_2d_fuzziness_003,2,ridge_cart,4,0.8782,0.8616740088105727,0.6839160839160839,0.7625730994152047,0.8645925110132158,0.6321643119432157,15,16,24.376165454275906
1,sine_wave_2d_fuzziness_003,2,ridge_cart,5,0.9158,0.9145374449339208,0.762114537444934,0.8313976772126552,0.9046402349486047,0.6269041600407155,29,30,26.91744382167235
1,sine_wave_2d_fuzziness_003,2,ridge_cart,6,0.934,0.9224669603524229,0.8122575640031032,0.863861386138614,0.9169787077826728,0.5892213579783292,47,48,27.705930109135807
1,sine_wave_2d_fuzziness_003,2,ridge_cart,7,0.9388,0.9242290748898678,0.8266351457840819,0.872712146422629,0.9116005873715125,0.5610276868063186,68,69,28.339122935198247
1,sine_wave_2d_fuzziness_003,2,ridge_cart,8,0.9518,0.9066079295154185,0.884020618556701,0.8951718138321009,0.9060110842688645,0.5583217375551757,92,93,28.656536600086838
1,sine_wave_2d_fuzziness_003,2,ridge_cart,9,0.9616,0.9004405286343612,0.9282470481380564,0.9141323792486583,0.8936780276682894,0.5378323020153253,113,114,29.41177873732522
1,sine_wave_2d_fuzziness_003,2,ridge_cart,10,0.9664,0.9030837004405287,0.9464450600184672,0.9242560865644724,0.8856909773209334,0.5262305114338819,134,135,29.78504691598937
1,sine_wave_2d_fuzziness_003,2,ridge_cart,11,0.9694,0.9162995594713657,0.9471766848816029,0.9314823107926556,0.8746058428008352,0.5175358672926815,151,152,29.958710773847997
1,sine_wave_2d_fuzziness_003,2,ridge_cart,12,0.9702,0.9233480176211454,0.9441441441441442,0.933630289532294,0.8736049926578562,0.5228169103837494,167,168,30.11886107735336
