seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
11,sine_wave_2d_fuzziness_007,2,co2,0,0.6698,0.0,,,0.0,0.0,0,1,0.00012571504339575768
11,sine_wave_2d_fuzziness_007,2,co2,1,0.6698,0.0,,,0.4182313749242883,0.3773831751241512,1,2,0.7191913239657879
11,sine_wave_2d_fuzziness_007,2,co2,2,0.8004,0.8437310720775287,0.6530707923112986,0.7362579281183932,0.5128205128205128,0.4545962378488275,2,3,1.0783068048767745
11,sine_wave_2d_fuzziness_007,2,co2,3,0.8112,0.6941247728649304,0.7230283911671924,0.7082818294190358,0.4816777710478499,0.41370221881298286,3,4,1.6545478426851332
11,sine_wave_2d_fuzziness_007,2,co2,4,0.8356,0.7135069654754694,0.7714472822527833,0.7413467589679044,0.5397738744195437,0.37211920476276017,5,6,1.3762255259789526
11,sine_wave_2d_fuzziness_007,2,co2,5,0.847,0.7698364627498486,0.767512077294686,0.7686725128515272,0.5300491284743252,0.34825298538939187,8,9,1.994422793854028
11,sine_wave_2d_fuzziness_007,2,co2,6,0.8516,0.7849788007268322,0.7700534759358288,0.7774445110977806,0.6452799169334602,0.3971978679543755,13,14,2.105579661205411
11,sine_wave_2d_fuzziness_007,2,co2,7,0.8486,0.7643852210781344,0.7742331288343558,0.7692776592502286,0.641530385624874,0.3639600038241009,17,18,4.074355460703373
11,sine_wave_2d_fuzziness_007,2,co2,8,0.8668,0.7504542701393095,0.8298727394507702,0.7881679389312977,0.7090652130022206,0.390693802355627,20,21,2.5414104950614274
11,sine_wave_2d_fuzziness_007,2,co2,9,0.8654,0.7559055118110236,0.8221343873517787,0.7876301672451878,0.6770827597599252,0.37828450973341954,21,22,3.796800347045064
11,sine_wave_2d_fuzziness_007,2,co2,10,0.8684,0.7510599636583889,0.8338937457969066,0.7903123008285532,0.6951594992933574,0.38242563407706465,23,24,4.378800040110946
11,sine_wave_2d_fuzziness_007,2,co2,11,0.8692,0.7577225923682617,0.8312292358803987,0.7927756653992396,0.7145086893724084,0.3855755678800954,25,26,4.025500423740596
11,sine_wave_2d_fuzziness_007,2,co2,12,0.8702,0.7662023016353725,0.8278795811518325,0.7958477508650519,0.732607943237864,0.40857124883228146,27,28,4.047313860151917
