seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
8,star_2d_fuzziness_003,2,randcart,0,0.6814,0.0,,,0.0,0.0,0,1,5.539972335100174e-06
8,star_2d_fuzziness_003,2,randcart,1,0.6814,0.0,,,0.41776522284996864,0.3038646765468471,1,2,6.483680261764675
8,star_2d_fuzziness_003,2,randcart,2,0.7314,0.7752667922159447,0.5563063063063063,0.6477838971938107,0.5958882611424983,0.4719206775094209,3,4,10.561595818027854
8,star_2d_fuzziness_003,2,randcart,3,0.831,0.6924042686754551,0.7565157750342936,0.7230416256964929,0.7223006905210294,0.5228644526158894,7,8,12.702398551162332
8,star_2d_fuzziness_003,2,randcart,4,0.8918,0.9296924042686755,0.775392670157068,0.8455609477590637,0.8137267210713537,0.5941487647123058,14,15,14.058627460617572
8,star_2d_fuzziness_003,2,randcart,5,0.9264,0.9070935342121783,0.8678678678678678,0.8870472682627378,0.8617875619628979,0.5658681076130605,28,29,15.25556952599436
8,star_2d_fuzziness_003,2,randcart,6,0.9398,0.864406779661017,0.9418604651162791,0.9014729950900164,0.8959787304752409,0.5960417210411386,50,51,15.842074528336525
8,star_2d_fuzziness_003,2,randcart,7,0.9506,0.9127432517263026,0.9308578745198464,0.9217115689381933,0.8983124699974157,0.5708407491165546,84,85,16.571148195303977
8,star_2d_fuzziness_003,2,randcart,8,0.9562,0.9077212806026366,0.9525691699604744,0.9296046287367407,0.9000658368165602,0.5411151105363419,122,123,16.62387512717396
8,star_2d_fuzziness_003,2,randcart,9,0.9598,0.9121155053358443,0.9597093791281374,0.935307370453814,0.8802030897756303,0.5191663758634601,158,159,17.430745040997863
8,star_2d_fuzziness_003,2,randcart,10,0.9654,0.928436911487759,0.9616384915474643,0.944746087511977,0.8948902758468824,0.5313813265166256,190,191,17.707314296159893
8,star_2d_fuzziness_003,2,randcart,11,0.9682,0.938480853735091,0.9607969151670951,0.9495077802476978,0.8893146376784569,0.5242267073962319,201,202,18.124158506281674
8,star_2d_fuzziness_003,2,randcart,12,0.9698,0.943502824858757,0.960997442455243,0.9521697814380742,0.8842085673494104,0.5175291808995175,225,226,18.008230647072196
