seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
11,star_2d_fuzziness_003,2,ridge_cart,0,0.6814,0.0,,,0.0,0.0,0,1,0.0002677799202501774
11,star_2d_fuzziness_003,2,ridge_cart,1,0.6814,0.0,,,0.45166352793471454,0.35051791209632666,1,2,10.842036766000092
11,star_2d_fuzziness_003,2,ridge_cart,2,0.7174,0.8769617074701821,0.5344299923488905,0.6641312098882814,0.6539548022598871,0.4655375040808558,3,4,17.524701005313545
11,star_2d_fuzziness_003,2,ridge_cart,3,0.7986,0.8587570621468926,0.6362790697674419,0.7309644670050762,0.7830351537978655,0.564170858516486,7,8,21.604420060291886
11,star_2d_fuzziness_003,2,ridge_cart,4,0.8932,0.7928436911487758,0.8609406952965235,0.8254901960784314,0.858717827997489,0.683489456678209,15,16,24.08137772977352
11,star_2d_fuzziness_003,2,ridge_cart,5,0.904,0.8355304456999372,0.8592640413169786,0.8472310630171864,0.8778196275371417,0.6348869496275127,29,30,25.727365610189736
11,star_2d_fuzziness_003,2,ridge_cart,6,0.9186,0.8336472065285625,0.9034013605442177,0.8671237349004244,0.8974557808057313,0.6329178975532923,50,51,27.249260360840708
11,star_2d_fuzziness_003,2,ridge_cart,7,0.9434,0.8951663527934715,0.9247730220492867,0.9097288676236045,0.9034982594304628,0.6023356069543562,76,77,27.816961894277483
11,star_2d_fuzziness_003,2,ridge_cart,8,0.9552,0.8970495919648462,0.9597044996642041,0.927319922128488,0.906285601357792,0.5848640264317604,107,108,28.58947961218655
11,star_2d_fuzziness_003,2,ridge_cart,9,0.9618,0.9158819836785939,0.962401055408971,0.938565455130267,0.9022866649985293,0.5632399952528726,142,143,28.873787161894143
11,star_2d_fuzziness_003,2,ridge_cart,10,0.9652,0.9290646578782172,0.9604153147306943,0.9444798978940651,0.900635194228989,0.5602103943674956,176,177,29.610955325886607
11,star_2d_fuzziness_003,2,ridge_cart,11,0.9694,0.935969868173258,0.9669260700389105,0.9511961722488038,0.8993442183338511,0.5476177757081493,205,206,29.93478389410302
11,star_2d_fuzziness_003,2,ridge_cart,12,0.972,0.9416195856873822,0.9696186166774402,0.9554140127388535,0.8980755563298684,0.5416508540664504,226,227,30.333319916855544
