seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
11,star_2d_fuzziness_005,2,co2,0,0.6292,0.0,,,0.0,0.0,0,1,8.804118260741234e-05
11,star_2d_fuzziness_005,2,co2,1,0.6292,0.0,,,0.4439050701186622,0.3098659311052663,1,2,0.038275374099612236
11,star_2d_fuzziness_005,2,co2,2,0.7058,0.8457389428263214,0.5695604794769342,0.6807032776210116,0.6380798274002157,0.4265426227875859,3,4,0.10598912090063095
11,star_2d_fuzziness_005,2,co2,3,0.7662,0.8327939590075513,0.6425301706200582,0.725393469579516,0.7301330456670263,0.46128979837641615,5,6,0.5136385061778128
11,star_2d_fuzziness_005,2,co2,4,0.8362,0.7680690399137001,0.785438499724214,0.776656667575675,0.7425836030204962,0.49151228575635364,7,8,0.7301806411705911
11,star_2d_fuzziness_005,2,co2,5,0.8356,0.7605177993527508,0.7885906040268457,0.7742998352553543,0.67680690399137,0.5067184320803373,9,10,1.2891204128973186
11,star_2d_fuzziness_005,2,co2,6,0.8362,0.7621359223300971,0.7889447236180904,0.7753086419753086,0.6918098083146627,0.46791634090208345,12,13,1.7724036150611937
11,star_2d_fuzziness_005,2,co2,7,0.8422,0.7750809061488673,0.7943615257048093,0.7846027846027845,0.7075916936353832,0.4754150527974812,15,16,2.4382290919311345
11,star_2d_fuzziness_005,2,co2,8,0.841,0.7648327939590076,0.7979741136747327,0.7810520517763702,0.7240800671221383,0.4734190377840972,17,18,3.534493139013648
11,star_2d_fuzziness_005,2,co2,9,0.842,0.7696871628910464,0.7972067039106145,0.7832052689352361,0.6912980942107154,0.46032875648102056,23,24,4.05650580720976
11,star_2d_fuzziness_005,2,co2,10,0.8448,0.772923408845739,0.8014541387024608,0.7869302580999451,0.7867673498741454,0.4511096661462035,23,24,3.73810677183792
11,star_2d_fuzziness_005,2,co2,11,0.8508,0.7961165048543689,0.8004338394793926,0.7982693347755542,0.7867961165048545,0.46112442665979425,24,25,3.773956703953445
