seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
11,star_2d_fuzziness_005,2,oc1,0,0.6292,0.0,,,0.0,0.0,0,1,0.0004470362327992916
11,star_2d_fuzziness_005,2,oc1,1,0.6292,0.0,,,0.441208198489752,0.30576626560954656,1,2,16.720991875976324
11,star_2d_fuzziness_005,2,oc1,2,0.707,0.8511326860841424,0.5702927358149621,0.6829690543172474,0.6388888888888888,0.4300063570560546,3,4,28.99648313689977
11,star_2d_fuzziness_005,2,oc1,3,0.7876,0.8441208198489751,0.6693755346449958,0.7466603053435114,0.7283094467560487,0.5060151008377463,6,7,37.815533184912056
11,star_2d_fuzziness_005,2,oc1,4,0.8688,0.8403451995685005,0.8123044838373306,0.8260869565217391,0.7389428263214672,0.5227181059706452,10,11,43.70070148818195
11,star_2d_fuzziness_005,2,oc1,5,0.8666,0.8133764832793959,0.8244942591580099,0.8188976377952757,0.781715210355987,0.45050455146777146,19,20,50.424139886163175
11,star_2d_fuzziness_005,2,oc1,6,0.8912,0.8565264293419633,0.8510182207931404,0.853763440860215,0.8159515607057104,0.4642598664734914,30,31,54.944668421987444
11,star_2d_fuzziness_005,2,oc1,7,0.917,0.8290183387270766,0.9400611620795107,0.8810547434795071,0.8475882262290031,0.46590263952813005,55,56,60.251166733913124
11,star_2d_fuzziness_005,2,oc1,8,0.9218,0.8646170442286947,0.9196787148594378,0.8912983041423408,0.882816382434578,0.48616836016824605,88,89,70.53917494695634
11,star_2d_fuzziness_005,2,oc1,9,0.9298,0.860302049622438,0.945465323058684,0.9008754589099125,0.8869490338575676,0.4773504867100691,113,114,72.04283770965412
11,star_2d_fuzziness_005,2,oc1,10,0.9346,0.8786407766990292,0.9410745233968805,0.9087866108786612,0.9017848386780425,0.5172971749745339,153,154,80.21163751883432
11,star_2d_fuzziness_005,2,oc1,11,0.945,0.8964401294498382,0.9524355300859599,0.9235898860794667,0.90451157875139,0.4857700375247336,196,197,84.80889780120924
11,star_2d_fuzziness_005,2,oc1,12,0.9464,0.8942826321467098,0.9583815028901734,0.9252232142857143,0.9077165814757682,0.501469179512479,213,214,88.38837423827499
