seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
1,star_2d_fuzziness_007,2,hhcart_d,0,0.5628,0.0,,,0.0,0.0,0,1,7.710885256528854e-06
1,star_2d_fuzziness_007,2,hhcart_d,1,0.5628,0.0,,,0.47483989021043005,0.3233825869973781,1,2,13.378442711662501
1,star_2d_fuzziness_007,2,hhcart_d,2,0.6232,0.9213174748398902,0.5405260332796564,0.6813261163734776,0.6951052150045747,0.4072894955748194,3,4,24.248219335917383
1,star_2d_fuzziness_007,2,hhcart_d,3,0.7364,0.8193046660567246,0.6599115696389094,0.7310204081632653,0.7875114364135407,0.4688173699212035,7,8,32.20994336111471
1,star_2d_fuzziness_007,2,hhcart_d,4,0.8188,0.7529734675205856,0.8180914512922465,0.7841829442591711,0.8479528819762125,0.4970797390693209,15,16,37.08850863901898
1,star_2d_fuzziness_007,2,hhcart_d,5,0.8398,0.8490393412625801,0.7975934679845295,0.8225127409705295,0.862636842603401,0.4607116995300278,28,29,40.99848862411454
1,star_2d_fuzziness_007,2,hhcart_d,6,0.8584,0.8183897529734675,0.8519047619047619,0.83481101259916,0.8608417200365965,0.49565144213347945,49,50,42.91216241335496
1,star_2d_fuzziness_007,2,hhcart_d,7,0.8694,0.8220494053064958,0.8719068413391557,0.8462444078172828,0.8703655295604062,0.49228875456930066,83,84,45.04108107415959
1,star_2d_fuzziness_007,2,hhcart_d,8,0.884,0.843092406221409,0.8860576923076923,0.8640412564463198,0.872200717854881,0.5230784601146148,129,130,46.54919240390882
1,star_2d_fuzziness_007,2,hhcart_d,9,0.8936,0.8554437328453797,0.8964525407478428,0.8754681647940075,0.8620261615687055,0.5068937872090324,184,185,47.885433284100145
1,star_2d_fuzziness_007,2,hhcart_d,10,0.9076,0.8517840805123513,0.931,0.8896321070234114,0.859970722781336,0.5034158512616154,249,250,48.574833096936345
1,star_2d_fuzziness_007,2,hhcart_d,11,0.9174,0.8774016468435498,0.9297140087251575,0.9028006589785832,0.8544929408176816,0.5053126245460302,305,306,49.96935230633244
1,star_2d_fuzziness_007,2,hhcart_d,12,0.9262,0.8952424519670631,0.933237958989032,0.9138454354424469,0.8460183034748452,0.5041742718371003,350,351,50.16127061191946
