shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples_dim_10,10,hhcart_d,0,0.6934,0.0,,,0.0,0.0,0,1,0,0.0,,,0.0,6.638932973146439e-06
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples_dim_10,10,hhcart_d,1,0.6934,0.0,,,0.4797782126549248,0.43634807020098454,1,2,10,0.0,,,0.0,290.9542826991528
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples_dim_10,10,hhcart_d,2,0.7134,0.9390084801043705,0.5179920834832673,0.6676716141001856,0.7046640574037835,0.5545331377575067,3,4,10,10.0,,,0.0,462.3815647060983
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples_dim_10,10,hhcart_d,3,0.796,0.8522504892367906,0.6221428571428571,0.7192402972749794,0.8065883887801695,0.46384148828927163,7,8,10,10.0,,,0.0,574.5827865609899
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples_dim_10,10,hhcart_d,4,0.8018,0.9295499021526419,0.6174176776429809,0.7419942723249154,0.8206539465101108,0.466029735213332,15,16,10,10.0,,,0.0,641.7184443334118
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples_dim_10,10,hhcart_d,5,0.8341,0.6797129810828441,0.7547989858746831,0.7152908872490132,0.8376168732333114,0.46306923814821266,29,30,10,10.0,,,0.0,690.8947055172175
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples_dim_10,10,hhcart_d,6,0.8717,0.8734507501630789,0.7495102155051777,0.8067480042175027,0.846162209175908,0.4585702730954244,47,48,10,10.0,,,0.0,723.2172560896724
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples_dim_10,10,hhcart_d,7,0.8999,0.9041095890410958,0.7967806841046278,0.8470588235294118,0.8752095254609558,0.4902850154263929,78,79,10,10.0,,,0.0,756.9891296871938
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples_dim_10,10,hhcart_d,8,0.9192,0.8988910632746249,0.8469575906576521,0.8721518987341772,0.8850863655407593,0.5019315047051989,122,123,10,10.0,,,0.0,777.5211046291515
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples_dim_10,10,hhcart_d,9,0.9403,0.9135681669928245,0.8940312799233961,0.9036941442168092,0.8967645877327786,0.5212309485782176,176,177,10,10.0,,,0.0,798.2223009881563
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples_dim_10,10,hhcart_d,10,0.9518,0.9259621656881931,0.9175824175824175,0.9217532467532468,0.8977695380002522,0.5178488571519659,227,228,10,10.0,,,0.0,821.5138718383387
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples_dim_10,10,hhcart_d,11,0.9605,0.9448793215916503,0.9276336855587576,0.9361770883826144,0.8884759178666353,0.5180347861670545,267,268,10,10.0,,,0.0,840.7212568721734
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples_dim_10,10,hhcart_d,12,0.967,0.9556425309849967,0.9379001280409731,0.9466882067851373,0.8858275826552684,0.5220059769142715,303,304,10,10.0,,,0.0,852.1016565053724
