shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_25,25,oc1,0,0.6934,0.0,,,0.0,0.0,0,1,0,0.0,0.0,0.0,,0.000506203155964613
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_25,25,oc1,1,0.6934,0.0,,,0.21722113502935425,0.0899096609260377,1,2,25,0.0,0.0,0.0,,408.7179776872508
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_25,25,oc1,2,0.6934,0.0,,,0.48793215916503585,0.21442435606682597,3,4,25,25.0,0.0,0.0,,632.4082305296324
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_25,25,oc1,3,0.6934,0.0,,,0.6211676451402479,0.24777014445987078,7,8,25,25.0,0.0,0.0,,768.5850482010283
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_25,25,oc1,4,0.6944,0.01304631441617743,0.5714285714285714,0.02551020408163265,0.6632420091324198,0.32961613443493865,15,16,25,25.0,0.0,0.0,,889.2924477402121
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_25,25,oc1,5,0.7014,0.0593607305936073,0.6408450704225352,0.10865671641791044,0.6664562422405993,0.34887828278357014,30,31,25,25.0,0.0,0.0,,929.868882776238
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_25,25,oc1,6,0.7147,0.13405088062622308,0.6748768472906403,0.2236734693877551,0.7402731309050354,0.45284536912969986,61,62,25,25.0,0.0,0.0,,1019.1140905530192
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_25,25,oc1,7,0.7411,0.5564253098499674,0.5812606473594548,0.5685719046825529,0.7825933439858292,0.46560475131939416,108,109,25,25.0,0.0,0.0,,1107.3667272520252
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_25,25,oc1,8,0.7768,0.6154598825831703,0.6418367346938776,0.6283716283716284,0.7823303979125897,0.5044585772111341,175,176,25,25.0,0.0,0.0,,1110.6477645458654
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_25,25,oc1,9,0.7942,0.7661448140900196,0.6365853658536585,0.6953818827708703,0.7876445818453175,0.5001799656931332,256,257,25,25.0,0.0,0.0,,1212.9861035910435
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_25,25,oc1,10,0.834,0.6428571428571429,0.7772082018927445,0.7036772581220994,0.7696874336170056,0.5036118593854204,346,347,25,25.0,0.0,0.0,,1216.8371127680875
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_25,25,oc1,11,0.848,0.6868884540117417,0.7899474868717179,0.7348220516399163,0.7824365606815087,0.49301381061153227,403,404,25,25.0,0.0,0.0,,1362.5302293179557
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_25,25,oc1,12,0.878,0.7896281800391389,0.8080774365821095,0.7987462883536786,0.7676118477857807,0.49226296335768494,481,482,25,25.0,0.0,0.0,,1317.2576720882207
