shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
radial_segment_3d,0.03,10000,8,30,moc1,0,0.6938,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0013905791565775871
radial_segment_3d,0.03,10000,8,30,moc1,1,0.6938,0.0,0.0,0.0,0.2713912475506204,0.09871663398836561,1,2,30,30.0,488.6669554011896
radial_segment_3d,0.03,10000,8,30,moc1,2,0.6938,0.0,0.0,0.0,0.5215545395166559,0.14260134963645754,3,4,30,30.0,760.0897596450523
radial_segment_3d,0.03,10000,8,30,moc1,3,0.6938,0.0,0.0,0.0,0.7025636838667537,0.24350526503492875,7,8,30,30.0,974.3884299146011
radial_segment_3d,0.03,10000,8,30,moc1,4,0.6953,0.01077726975832789,0.6470588235294118,0.02120141342756184,0.6951747224036575,0.29946118320826254,15,16,30,30.0,1140.5735921757296
radial_segment_3d,0.03,10000,8,30,moc1,5,0.6992,0.045068582625734814,0.6216216216216216,0.08404384896467723,0.7729903826662765,0.3906124950256642,28,29,30,30.0,1269.2458241693676
radial_segment_3d,0.03,10000,8,30,moc1,6,0.7074,0.07119529719137818,0.7266666666666667,0.12968471148126115,0.820898952512277,0.47829910233223294,53,54,30,30.0,1418.3784761233255
radial_segment_3d,0.03,10000,8,30,moc1,7,0.7281,0.17504898758981058,0.7352537722908093,0.28277499340543394,0.8111091318145531,0.4705398097271365,98,99,30,30.0,1416.5900919772685
radial_segment_3d,0.03,10000,8,30,moc1,8,0.7525,0.36152841280209014,0.6803933620159803,0.472168905950096,0.7685384408498865,0.478165174037152,135,136,30,30.0,1444.038949355483
radial_segment_3d,0.03,10000,8,30,moc1,9,0.7756,0.5937295885042456,0.64513839602555,0.6183673469387755,0.7818047863893438,0.48765087808985785,210,211,30,30.0,1523.5478228600696
radial_segment_3d,0.03,10000,8,30,moc1,10,0.7823,0.5440888308295232,0.6808336738863915,0.6048284625158832,0.819802231297986,0.49601377379240974,272,273,30,30.0,1582.3059656163678
radial_segment_3d,0.03,10000,8,30,moc1,11,0.8244,0.5956890920966689,0.7788215200683177,0.6750555144337528,0.7983010418207868,0.487738988665142,361,362,30,30.0,1664.653318779543
radial_segment_3d,0.03,10000,8,30,moc1,12,0.8494,0.6283474853037231,0.8394415357766143,0.7187149794546135,0.7872791540088,0.5035634860682006,446,447,30,30.0,1698.3048520525917
