shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
barbell_2d,0.0,10000,11,barbell_2d_fuzziness_000,2,cart,0,0.7399,0.0,,,0.0,0.0,0,1,0,0.0,,,,7.44406133890152e-06
barbell_2d,0.0,10000,11,barbell_2d_fuzziness_000,2,cart,1,0.7399,0.0,,,0.49884659746251425,0.4913355665527168,1,2,1,0.0,,,,28.305706484243274
barbell_2d,0.0,10000,11,barbell_2d_fuzziness_000,2,cart,2,0.7399,0.0,,,0.7432718185313341,0.6293742268012652,3,4,1,1.0,,,,49.68007194716483
barbell_2d,0.0,10000,11,barbell_2d_fuzziness_000,2,cart,3,0.7399,0.0,,,0.8496732026143792,0.6485490622835182,6,7,2,1.0,,,,65.93609381606802
barbell_2d,0.0,10000,11,barbell_2d_fuzziness_000,2,cart,4,0.7402,0.0011534025374855825,1.0,0.002304147465437788,0.9074394463667819,0.7460322243533284,11,12,2,1.0,,,,78.80881720222533
barbell_2d,0.0,10000,11,barbell_2d_fuzziness_000,2,cart,5,0.7428,0.011534025374855825,0.967741935483871,0.022796352583586626,0.9231743447090486,0.708206950957825,16,17,2,1.0,,,,89.73169497819617
barbell_2d,0.0,10000,11,barbell_2d_fuzziness_000,2,cart,6,0.7557,0.08996539792387544,0.7548387096774194,0.16076949501889384,0.8998622324746894,0.6866984175225006,23,24,2,1.0,,,,99.85791883803904
barbell_2d,0.0,10000,11,barbell_2d_fuzziness_000,2,cart,7,0.941,0.9469434832756632,0.8449399656946827,0.8930384336475707,0.908087460158004,0.6849854913790805,30,31,2,1.0,,,,105.29383675986901
barbell_2d,0.0,10000,11,barbell_2d_fuzziness_000,2,cart,8,0.967,0.9588619761630143,0.9179241810820759,0.9379465964648365,0.9034789380810142,0.6282590891217881,38,39,2,1.0,,,,106.50578720495105
barbell_2d,0.0,10000,11,barbell_2d_fuzziness_000,2,cart,9,0.9756,0.9734717416378316,0.935352789065386,0.9540316503391107,0.9011918492887356,0.6030905100767694,48,49,2,1.0,,,,109.09715480590239
barbell_2d,0.0,10000,11,barbell_2d_fuzziness_000,2,cart,10,0.9864,0.9900038446751249,0.9590316573556797,0.9742716609912978,0.9065185846634671,0.592994418227808,61,62,2,1.0,,,,109.85048637678847
barbell_2d,0.0,10000,11,barbell_2d_fuzziness_000,2,cart,11,0.9894,0.9819300269127259,0.9774205893608878,0.9796701189106253,0.9077133794694352,0.5530434537803888,79,80,2,1.0,,,,111.5939866118133
barbell_2d,0.0,10000,11,barbell_2d_fuzziness_000,2,cart,12,0.9948,0.9930795847750865,0.9870080244554834,0.9900344959754696,0.908445205452304,0.5302778442772285,96,97,2,1.0,,,,109.6083593647927
