seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
11,barbell_2d_fuzziness_003,2,oc1,0,0.648,0.0,,,0.0,0.0,0,1,0.00042519113048911095
11,barbell_2d_fuzziness_003,2,oc1,1,0.648,0.0,,,0.48124999999999996,0.44341199411039045,1,2,17.107525459025055
11,barbell_2d_fuzziness_003,2,oc1,2,0.8086,0.9477272727272728,0.658507698381366,0.7770789657582111,0.6193181818181821,0.5743141895782675,2,3,27.501517391297966
11,barbell_2d_fuzziness_003,2,oc1,3,0.8406,0.9409090909090909,0.7049808429118773,0.8060355317595521,0.7042613636363637,0.6073529796786206,3,4,33.096333703026175
11,barbell_2d_fuzziness_003,2,oc1,4,0.8678,0.9357954545454545,0.7503416856492028,0.8328697850821745,0.7945075757575757,0.6136005394300295,5,6,38.3002369790338
11,barbell_2d_fuzziness_003,2,oc1,5,0.871,0.8664772727272727,0.7881136950904393,0.8254397834912043,0.8332070707070707,0.6350199507896881,8,9,43.39831158006564
11,barbell_2d_fuzziness_003,2,oc1,6,0.8784,0.9164772727272728,0.7777242044358728,0.8414188836724048,0.8437937062937062,0.581177980355843,12,13,47.667253975290805
11,barbell_2d_fuzziness_003,2,oc1,7,0.8948,0.8267045454545454,0.8681384248210023,0.8469150174621652,0.7773325358851673,0.4937590761735684,18,19,51.60997831635177
11,barbell_2d_fuzziness_003,2,oc1,8,0.9232,0.9068181818181819,0.8788546255506607,0.8926174496644295,0.8289956011730206,0.5263645604312213,30,31,57.227190716192126
11,barbell_2d_fuzziness_003,2,oc1,9,0.934,0.8857954545454545,0.9235781990521327,0.904292343387471,0.8661205073995772,0.5234919397213476,42,43,59.62584726884961
11,barbell_2d_fuzziness_003,2,oc1,10,0.9482,0.8977272727272727,0.9523809523809523,0.9242468558057911,0.8646969696969697,0.49382625849897854,59,60,63.30037194304168
11,barbell_2d_fuzziness_003,2,oc1,11,0.955,0.9073863636363636,0.9626280892103677,0.9341912840011699,0.9109726295210165,0.49392126437932493,92,93,69.97902917768806
11,barbell_2d_fuzziness_003,2,oc1,12,0.9556,0.9119318181818182,0.9599282296650717,0.9353146853146854,0.9116477272727272,0.5029336414489858,91,92,67.38899980997667
