shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
barbell_2d,0.007,10000,11,barbell_2d_fuzziness_007,2,ridge_cart,0,0.5506,0.0,,,0.0,0.0,0,1,0,0.0,,,,0.00025149108842015266
barbell_2d,0.007,10000,11,barbell_2d_fuzziness_007,2,ridge_cart,1,0.5537,0.9717400979083222,0.501780995059175,0.6618170796393119,0.47174009790832216,0.3367210397560747,1,2,2,0.0,,,,44.13316537812352
barbell_2d,0.007,10000,11,barbell_2d_fuzziness_007,2,ridge_cart,2,0.7053,0.9243435692033823,0.6144061529359562,0.7381608174144824,0.6951490876724522,0.4500306830036631,3,4,2,2.0,,,,76.99618996027857
barbell_2d,0.007,10000,11,barbell_2d_fuzziness_007,2,ridge_cart,3,0.7826,0.8945260347129506,0.7027972027972028,0.7871548854513414,0.809801958166444,0.4933276868798111,7,8,2,2.0,,,,98.44122301135212
barbell_2d,0.007,10000,11,barbell_2d_fuzziness_007,2,ridge_cart,4,0.8177,0.8920783266577659,0.7497662240508697,0.8147545981099482,0.8645416110369382,0.5004261033827189,15,16,2,2.0,,,,114.08724793698639
barbell_2d,0.007,10000,11,barbell_2d_fuzziness_007,2,ridge_cart,5,0.8331,0.8829550511793502,0.7763647035805126,0.8262363352420614,0.9029099731541699,0.5171962809256703,30,31,2,2.0,,,,127.38804348325357
barbell_2d,0.007,10000,11,barbell_2d_fuzziness_007,2,ridge_cart,6,0.8484,0.8502447708055185,0.8192538593481989,0.8344616728543349,0.9274814630430026,0.5162017113978059,58,59,2,2.0,,,,138.23254618933424
barbell_2d,0.007,10000,11,barbell_2d_fuzziness_007,2,ridge_cart,7,0.8532,0.8386737872719181,0.8353280141843972,0.8369975571840996,0.9322906732786573,0.5245476574192238,97,98,2,2.0,,,,148.8517681658268
barbell_2d,0.007,10000,11,barbell_2d_fuzziness_007,2,ridge_cart,8,0.8611,0.8896306186025812,0.8174197505622572,0.8519978689397976,0.9305976769614821,0.5169252368645834,150,151,2,2.0,,,,156.51920077111572
barbell_2d,0.007,10000,11,barbell_2d_fuzziness_007,2,ridge_cart,9,0.8753,0.8624833110814419,0.8603773584905661,0.8614290476719636,0.9284622683494133,0.535848414709093,211,212,2,2.0,,,,162.0942772864364
barbell_2d,0.007,10000,11,barbell_2d_fuzziness_007,2,ridge_cart,10,0.8836,0.851357365376057,0.8852383155946321,0.8679673321234119,0.9166837210359962,0.5278367391744907,273,274,2,2.0,,,,167.6920130578801
barbell_2d,0.007,10000,11,barbell_2d_fuzziness_007,2,ridge_cart,11,0.8942,0.8811748998664887,0.8831400535236396,0.8821563822677655,0.9099656224402259,0.523033725540283,344,345,2,2.0,,,,171.83347832597792
barbell_2d,0.007,10000,11,barbell_2d_fuzziness_007,2,ridge_cart,12,0.9021,0.9047619047619048,0.8806584362139918,0.8925474700910986,0.9005452513823387,0.5104130759695007,416,417,2,2.0,,,,173.53392893401906
