shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,hhcart_d,0,0.7993,0.0,,,0.0,0.0,0,1,0,0.0,,,0.0,8.969102054834366e-06
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,hhcart_d,1,0.7993,0.0,,,0.17264573991031407,0.2466956021208211,1,2,3,0.0,,,0.0,82.42724375380203
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,hhcart_d,2,0.8076,0.32286995515695066,0.5342126957955482,0.4024844720496894,0.29583956153462876,0.4180298140546026,3,4,3,3.0,,,0.0,145.14121219003573
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,hhcart_d,3,0.8338,0.29247633283507724,0.7080820265379976,0.4139633286318759,0.6109242650722471,0.5249008582906292,7,8,3,3.0,,,0.0,186.70553566562012
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,hhcart_d,4,0.8655,0.6576980568011959,0.6673407482305359,0.6624843161856965,0.7824800697558545,0.6213328777712204,15,16,3,3.0,,,0.0,212.45271818106994
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,hhcart_d,5,0.8864,0.6462381664175386,0.7527568195008706,0.6954423592493297,0.8594419531639261,0.6122226235638479,29,30,3,3.0,,,0.0,225.49852250982076
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,hhcart_d,6,0.9205,0.9118086696562033,0.7475490196078431,0.8215488215488216,0.8999633358716193,0.6230388240979094,52,53,3,3.0,,,0.0,232.6327625149861
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,hhcart_d,7,0.9411,0.9138016940707524,0.8151111111111111,0.8616396523373268,0.918409097570269,0.6099234891353267,84,85,3,3.0,,,0.0,240.67331528989598
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,hhcart_d,8,0.9491,0.8883906327852517,0.8621856866537717,0.8750920245398773,0.9233225377844216,0.6142871109755159,119,120,3,3.0,,,0.0,250.42301703989506
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,hhcart_d,9,0.959,0.9322371699053313,0.8722610722610723,0.9012524084778422,0.9197109479877752,0.6048249768898493,156,157,3,3.0,,,0.0,253.4165096306242
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,hhcart_d,10,0.9685,0.9456900847035377,0.9020912547528517,0.9233763074677693,0.918215931738914,0.5949481285170253,191,192,3,3.0,,,0.0,259.28120250301436
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,hhcart_d,11,0.974,0.942700548081714,0.9288168875797742,0.9357072205736895,0.9127828385404451,0.5869548979573735,222,223,3,3.0,,,0.0,261.23778451699764
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,hhcart_d,12,0.9768,0.9456900847035377,0.9391390400791687,0.9424031777557101,0.9139605867652196,0.5884405344821089,253,254,3,3.0,,,0.0,261.35510665597394
