shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
barbell_3d,0.003,10000,8,barbell_3d_fuzziness_003,3,oc1,0,0.7993,0.0,,,0.0,0.0,0,1,0,0.0,0.0,0.0,,0.0004971032030880451
barbell_3d,0.003,10000,8,barbell_3d_fuzziness_003,3,oc1,1,0.7993,0.0,,,0.15819631290483294,0.23985847733035381,1,2,3,0.0,0.0,0.0,,64.33968341583386
barbell_3d,0.003,10000,8,barbell_3d_fuzziness_003,3,oc1,2,0.8062,0.3328350772296961,0.5272296764009471,0.40806353084911423,0.29359740906826115,0.39406934840822516,3,4,3,3.0,0.0,0.0,,113.97605692315847
barbell_3d,0.003,10000,8,barbell_3d_fuzziness_003,3,oc1,3,0.8392,0.6701544593921276,0.5870798777826277,0.6258724988366683,0.6008345789735925,0.5468166311231786,7,8,3,3.0,0.0,0.0,,153.06810947088525
barbell_3d,0.003,10000,8,barbell_3d_fuzziness_003,3,oc1,4,0.8702,0.6831091180866966,0.6743728480078701,0.6787128712871288,0.7370357594572841,0.6401980631116935,12,13,3,3.0,0.0,0.0,,175.92357029672712
barbell_3d,0.003,10000,8,barbell_3d_fuzziness_003,3,oc1,5,0.8984,0.6646736422521176,0.7954680977936792,0.724212812160695,0.7996263079222721,0.6314237691001094,19,20,3,3.0,0.0,0.0,,187.98920997185633
barbell_3d,0.003,10000,8,barbell_3d_fuzziness_003,3,oc1,6,0.9216,0.8913801694070752,0.7596602972399151,0.8202659330582301,0.8486327266332545,0.6195146855774123,33,34,3,3.0,0.0,0.0,,198.01055949693546
barbell_3d,0.003,10000,8,barbell_3d_fuzziness_003,3,oc1,7,0.9371,0.8734429496761336,0.8237781954887218,0.8478839177750906,0.8766663616119097,0.5915408135328677,48,49,3,3.0,0.0,0.0,,196.7296913289465
barbell_3d,0.003,10000,8,barbell_3d_fuzziness_003,3,oc1,8,0.951,0.8649725959143,0.8879795396419438,0.8763250883392227,0.8952638368450148,0.6065441845165966,72,73,3,3.0,0.0,0.0,,202.77355947205797
barbell_3d,0.003,10000,8,barbell_3d_fuzziness_003,3,oc1,9,0.9608,0.8814150473343298,0.9199167966718669,0.9002544529262086,0.8994692047222477,0.5825032446130283,97,98,3,3.0,0.0,0.0,,210.18320505414158
barbell_3d,0.003,10000,8,barbell_3d_fuzziness_003,3,oc1,10,0.9648,0.8819133034379671,0.9389920424403183,0.9095580678314492,0.9059675065840986,0.5773088941937126,111,112,3,3.0,0.0,0.0,,215.66039821505547
barbell_3d,0.003,10000,8,barbell_3d_fuzziness_003,3,oc1,11,0.9695,0.9018435475834579,0.9436913451511991,0.9222929936305732,0.9109767985962176,0.55982967986559,114,115,3,3.0,0.0,0.0,,212.31618561130017
barbell_3d,0.003,10000,8,barbell_3d_fuzziness_003,3,oc1,12,0.9706,0.8988540109616343,0.9519788918205805,0.9246540235776525,0.9210573450439803,0.5828767870652121,152,153,3,3.0,0.0,0.0,,223.67746238503605
