seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
1,barbell_3d_fuzziness_003,3,ridge_cart,0,0.803,0.0,,,0.0,0.0,0,1,0.00023718876764178276
1,barbell_3d_fuzziness_003,3,ridge_cart,1,0.803,0.0,,,0.45482233502538083,0.26520410996945265,1,2,53.68000971991569
1,barbell_3d_fuzziness_003,3,ridge_cart,2,0.803,0.0,,,0.6954314720812182,0.44975375558603004,3,4,93.84893656894565
1,barbell_3d_fuzziness_003,3,ridge_cart,3,0.803,0.0,,,0.8168781725888328,0.5323619583861106,7,8,121.22186319204047
1,barbell_3d_fuzziness_003,3,ridge_cart,4,0.8048,0.03197969543147208,0.5833333333333334,0.060635226179018294,0.8762055837563452,0.5848062187819718,15,16,140.25867559434846
1,barbell_3d_fuzziness_003,3,ridge_cart,5,0.8162,0.15431472081218275,0.6386554621848739,0.24856909239574818,0.9033502538071065,0.6635295982421439,29,30,154.15662237303331
1,barbell_3d_fuzziness_003,3,ridge_cart,6,0.831,0.3365482233502538,0.6338432122370937,0.4396551724137931,0.9107634932145448,0.6390547903687727,48,49,163.1269273161888
1,barbell_3d_fuzziness_003,3,ridge_cart,7,0.8703,0.5538071065989848,0.7229953611663353,0.6271917217591262,0.9191640846463183,0.6342674146815166,76,77,170.07681282889098
1,barbell_3d_fuzziness_003,3,ridge_cart,8,0.9033,0.7030456852791879,0.7838143746462931,0.7412362857907412,0.9123584537290124,0.6138182601829958,103,104,177.8292184351012
1,barbell_3d_fuzziness_003,3,ridge_cart,9,0.9195,0.7593908629441625,0.8188286808976464,0.7879905188306559,0.9044522803890416,0.5986453785141195,130,131,180.35673529328778
1,barbell_3d_fuzziness_003,3,ridge_cart,10,0.9316,0.7639593908629442,0.872969837587007,0.8148348673524635,0.9049049349713154,0.5922727101064691,168,169,183.5527700339444
1,barbell_3d_fuzziness_003,3,ridge_cart,11,0.9402,0.7690355329949239,0.913751507840772,0.8351708930540243,0.8996290511518938,0.5791611830569454,207,208,185.596831406001
1,barbell_3d_fuzziness_003,3,ridge_cart,12,0.9473,0.7898477157360406,0.9322947872977831,0.8551799945039846,0.8966663213508754,0.5733070851719302,244,245,189.02540911734104
