shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,wodt,0,0.7993,0.0,,,0.0,0.0,0,1,0,0.0,,,,0.0003178729675710201
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,wodt,1,0.7993,0.0,,,0.48804185351270557,0.4558949819546336,1,2,3,0.0,,,,0.022724390029907227
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,wodt,2,0.7993,0.0,,,0.6638016940707525,0.5669342997892124,3,4,3,3.0,,,,0.04551609279587865
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,wodt,3,0.7993,0.0,,,0.8051818634778274,0.6758295298472117,7,8,3,3.0,,,,0.09028929704800248
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,wodt,4,0.6067,0.8221225710014948,0.3157290470723307,0.45624222314392376,0.8675997644607512,0.7007321486681666,13,14,3,3.0,,,,0.13493664795532823
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,wodt,5,0.6265,0.8216243148978575,0.3280939116593713,0.46893217688042094,0.8958333333333335,0.7710440892912958,22,23,3,3.0,,,,0.18512271903455257
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,wodt,6,0.644,0.7872446437468859,0.3352429450456185,0.4702380952380953,0.8978050507434503,0.746710984035585,36,37,3,3.0,,,,0.2639810941182077
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,wodt,7,0.6597,0.5301444942700548,0.30192962542565266,0.3847405532453444,0.8608132406143714,0.692938476914071,56,57,3,3.0,,,,0.3778239907696843
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,wodt,8,0.6336,0.5057299451918286,0.2752915649579604,0.35651563048823326,0.885583790068095,0.7171607213125357,85,86,3,3.0,,,,0.5133904339745641
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,wodt,9,0.6378,0.5336322869955157,0.2850678733031674,0.37161693268563495,0.8990445206483195,0.7433869789874308,121,122,3,3.0,,,,0.6735563897527754
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,wodt,10,0.7225,0.10064773293472845,0.17235494880546076,0.12708398867568418,0.901581963129048,0.7283261157151315,162,163,3,3.0,,,,0.8473943830467761
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,wodt,11,0.6475,0.5191828599900349,0.2892837312604109,0.37154573007666253,0.8954853664348692,0.723998177013472,207,208,3,3.0,,,,1.0471171331591904
barbell_3d,0.003,10000,1,barbell_3d_fuzziness_003,3,wodt,12,0.6508,0.49128051818634777,0.2852183974544403,0.3609077598828697,0.8840500555747195,0.716957358227432,259,260,3,3.0,,,,1.2906006290577352
