shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
barbell_3d,0.005,10000,8,barbell_3d_fuzziness_005,3,hhcart_a,0,0.7654,0.0,,,0.0,0.0,0,1,0,0.0,,,,1.4449935406446457e-05
barbell_3d,0.005,10000,8,barbell_3d_fuzziness_005,3,hhcart_a,1,0.7692,0.3371696504688832,0.5123056994818653,0.4066838046272493,0.16283034953111675,0.23586122890119898,1,2,3,0.0,,,,237.22495509171858
barbell_3d,0.005,10000,8,barbell_3d_fuzziness_005,3,hhcart_a,2,0.7916,0.30477408354646207,0.6121575342465754,0.40694365395560617,0.24765558397271947,0.32099298023165757,3,4,3,3.0,,,,411.5384213998914
barbell_3d,0.005,10000,8,barbell_3d_fuzziness_005,3,hhcart_a,3,0.8213,0.6508951406649617,0.6120240480961924,0.6308613922743236,0.6011295822676896,0.5719263416555906,7,8,3,3.0,,,,527.8357021040283
barbell_3d,0.005,10000,8,barbell_3d_fuzziness_005,3,hhcart_a,4,0.8524,0.612531969309463,0.7170658682634731,0.6606896551724138,0.7381074168797954,0.5272110190993289,14,15,3,3.0,,,,599.5245034601539
barbell_3d,0.005,10000,8,barbell_3d_fuzziness_005,3,hhcart_a,5,0.8702,0.6155157715260017,0.7847826086956522,0.6899187768752986,0.8266654487882106,0.5923276773244666,27,28,3,3.0,,,,644.4908507550135
barbell_3d,0.005,10000,8,barbell_3d_fuzziness_005,3,hhcart_a,6,0.8943,0.8751065643648764,0.7287894923677671,0.7952740654658144,0.8799101580431503,0.6183851244660112,51,52,3,3.0,,,,677.8439174038358
barbell_3d,0.005,10000,8,barbell_3d_fuzziness_005,3,hhcart_a,7,0.913,0.8231031543052003,0.8093042749371333,0.81614539306847,0.9001588777803613,0.6107622114263576,87,88,3,3.0,,,,705.8577465834096
barbell_3d,0.005,10000,8,barbell_3d_fuzziness_005,3,hhcart_a,8,0.9212,0.850383631713555,0.8203125,0.8350774382586856,0.9036529943785299,0.59544987749823,132,133,3,3.0,,,,714.1869679503143
barbell_3d,0.005,10000,8,barbell_3d_fuzziness_005,3,hhcart_a,9,0.9312,0.7868712702472294,0.9075712881022615,0.8429223744292238,0.8961400018944778,0.5770541955403281,179,180,3,3.0,,,,729.8056033430621
barbell_3d,0.005,10000,8,barbell_3d_fuzziness_005,3,hhcart_a,10,0.9414,0.8806479113384484,0.8709949409780776,0.8757948283170834,0.891027462638716,0.5770672807149668,233,234,3,3.0,,,,741.3159154220484
barbell_3d,0.005,10000,8,barbell_3d_fuzziness_005,3,hhcart_a,11,0.9533,0.9057971014492754,0.8962463095740194,0.9009963960144161,0.8833134802461786,0.5648954004854951,291,292,3,3.0,,,,741.4208854241297
barbell_3d,0.005,10000,8,barbell_3d_fuzziness_005,3,hhcart_a,12,0.9639,0.9198635976129582,0.9257829257829258,0.9228137695103699,0.8805037899051484,0.5620191878976732,348,349,3,3.0,,,,755.2740581231192
