seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
11,barbell_3d_fuzziness_007,3,co2,0,0.7215,0.0,,,0.0,0.0,0,1,0.0002566189505159855
11,barbell_3d_fuzziness_007,3,co2,1,0.7215,0.0,,,0.4116696588868942,0.17731568371488038,1,2,0.09252225887030363
11,barbell_3d_fuzziness_007,3,co2,2,0.7215,0.0,,,0.5914721723518852,0.3341516117682486,3,4,2.601173608098179
11,barbell_3d_fuzziness_007,3,co2,3,0.7233,0.07755834829443448,0.5217391304347826,0.13504220068771491,0.7060592459605026,0.49194446376380285,7,8,3.872704579960555
11,barbell_3d_fuzziness_007,3,co2,4,0.7449,0.17378815080789947,0.659400544959128,0.27507814720090934,0.7285734014638863,0.5237658086416956,12,13,6.605799701064825
11,barbell_3d_fuzziness_007,3,co2,5,0.7768,0.644165170556553,0.5911037891268534,0.6164948453608248,0.7598470064788072,0.5247610826218259,22,23,5.645835509989411
11,barbell_3d_fuzziness_007,3,co2,6,0.8454,0.7314183123877918,0.7185185185185186,0.7249110320284697,0.7618462964035446,0.5621295905019126,30,31,17.565508269239217
11,barbell_3d_fuzziness_007,3,co2,7,0.8542,0.762657091561939,0.7271482369051695,0.7444794952681387,0.7842536235057147,0.5535217829465435,40,41,14.241393994074315
11,barbell_3d_fuzziness_007,3,co2,8,0.8655,0.6761220825852783,0.8095442820292348,0.736842105263158,0.7552771305244661,0.5568783373223329,46,47,17.798506159335375
11,barbell_3d_fuzziness_007,3,co2,9,0.8814,0.7464991023339318,0.8124267291910903,0.7780688622754491,0.7617316626256272,0.4743468538317668,96,97,24.84971342701465
11,barbell_3d_fuzziness_007,3,co2,10,0.8874,0.8086175942549372,0.7915641476274166,0.8,0.7600778820138063,0.5215088716390612,70,71,17.433233817107975
11,barbell_3d_fuzziness_007,3,co2,11,0.8951,0.7601436265709156,0.8474779823859088,0.8014385765663448,0.7519813433526439,0.5222232485399045,96,97,17.71331436233595
11,barbell_3d_fuzziness_007,3,co2,12,0.8879,0.7870736086175942,0.8058823529411765,0.7963669391462307,0.775592135147412,0.5396690210174602,82,83,12.437840261030942
