shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
barbell_3d,0.007,10000,8,barbell_3d_fuzziness_007,3,randcart,0,0.7219,0.0,,,0.0,0.0,0,1,0,0.0,,,,1.2901145964860916e-05
barbell_3d,0.007,10000,8,barbell_3d_fuzziness_007,3,randcart,1,0.7219,0.0,,,0.4658396260338009,0.2820200617148283,1,2,3,0.0,,,,40.50611344585195
barbell_3d,0.007,10000,8,barbell_3d_fuzziness_007,3,randcart,2,0.757,0.2624955052139518,0.6582506762849414,0.37532133676092544,0.5806364617044228,0.37726499988743467,3,4,3,3.0,,,,72.4360278439708
barbell_3d,0.007,10000,8,barbell_3d_fuzziness_007,3,randcart,3,0.7724,0.27292340884573896,0.7492596248766041,0.4001054296257248,0.7408755843221864,0.5148776986932535,7,8,3,3.0,,,,97.9889867240563
barbell_3d,0.007,10000,8,barbell_3d_fuzziness_007,3,randcart,4,0.7802,0.5433297375044948,0.6195161951619517,0.5789272030651341,0.7690279276039793,0.5273142157970332,14,15,3,3.0,,,,115.65103159612045
barbell_3d,0.007,10000,8,barbell_3d_fuzziness_007,3,randcart,5,0.8259,0.8439410284070479,0.6423097974822113,0.7294483294483294,0.8507371449119021,0.557602432100871,29,30,3,3.0,,,,123.5858561610803
barbell_3d,0.007,10000,8,barbell_3d_fuzziness_007,3,randcart,6,0.8656,0.8266810499820209,0.7273014868712433,0.7738135307977112,0.8655609492988134,0.5380666435067278,55,56,3,3.0,,,,127.9586417931132
barbell_3d,0.007,10000,8,barbell_3d_fuzziness_007,3,randcart,7,0.8866,0.7565623876303488,0.8215540804373291,0.7877199550730062,0.8824163969795036,0.5812919530386895,94,95,3,3.0,,,,128.91820458322763
barbell_3d,0.007,10000,8,barbell_3d_fuzziness_007,3,randcart,8,0.8734,0.8338727076591155,0.7425552353506244,0.7855691056910569,0.9005605552353788,0.5417266864037407,145,146,3,3.0,,,,138.79580405261368
barbell_3d,0.007,10000,8,barbell_3d_fuzziness_007,3,randcart,9,0.9017,0.8061848256023013,0.8346984363365599,0.8201938906164258,0.8844937891847438,0.5507895038074289,201,202,3,3.0,,,,137.69465427612886
barbell_3d,0.007,10000,8,barbell_3d_fuzziness_007,3,randcart,10,0.913,0.8295577130528586,0.853496115427303,0.8413566739606128,0.8759321922725991,0.553045370111475,306,307,3,3.0,,,,135.9510578759946
barbell_3d,0.007,10000,8,barbell_3d_fuzziness_007,3,randcart,11,0.9252,0.8507731032002877,0.8766209707299,0.8635036496350365,0.8501357526392983,0.5194353538632257,355,356,3,3.0,,,,142.4268036764115
barbell_3d,0.007,10000,8,barbell_3d_fuzziness_007,3,randcart,12,0.93,0.8558072635742539,0.8883911907428145,0.8717948717948718,0.8750880611144134,0.5419487521164847,391,392,3,3.0,,,,149.1745817712508
