seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
8,barbell_3d_fuzziness_007,3,wodt,0,0.7215,0.0,,,0.0,0.0,0,1,0.0004273471422493458
8,barbell_3d_fuzziness_007,3,wodt,1,0.7215,0.0,,,0.22100538599640918,0.01822612913397892,1,2,0.04564783163368702
8,barbell_3d_fuzziness_007,3,wodt,2,0.7215,0.0,,,0.554129263913824,0.41372071649789754,3,4,0.0712063810788095
8,barbell_3d_fuzziness_007,3,wodt,3,0.5749,0.8700179533213644,0.383871989860583,0.5327030889304166,0.6784303667607077,0.4397609403803717,7,8,0.10979727562516928
8,barbell_3d_fuzziness_007,3,wodt,4,0.6419,0.8366247755834829,0.4270527859237537,0.5654653561460987,0.781418312387792,0.524043341786802,15,16,0.16146278474479914
8,barbell_3d_fuzziness_007,3,wodt,5,0.7332,0.7281867145421903,0.5148514851485149,0.6032123735871505,0.7954717733891878,0.5969578566866953,29,30,0.24071281775832176
8,barbell_3d_fuzziness_007,3,wodt,6,0.6794,0.7518850987432675,0.4543284877413756,0.5664051934000541,0.8240702744293409,0.6481480344760902,55,56,0.37790188705548644
8,barbell_3d_fuzziness_007,3,wodt,7,0.6149,0.4642728904847397,0.354052573932092,0.4017399409662887,0.8212094010119144,0.6762085491442456,97,98,0.6002800846472383
8,barbell_3d_fuzziness_007,3,wodt,8,0.5709,0.47540394973070016,0.31872893596533464,0.38161118316760345,0.8483934872779051,0.6784393457997593,158,159,0.8939425218850374
8,barbell_3d_fuzziness_007,3,wodt,9,0.5219,0.4614003590664273,0.28142794568550156,0.34961229764657875,0.8507053090536034,0.662004078262161,240,241,1.289831593632698
8,barbell_3d_fuzziness_007,3,wodt,10,0.5264,0.46463195691202874,0.285084820445032,0.3533588203167668,0.861404791985283,0.6649823814226858,349,350,1.8161022700369358
8,barbell_3d_fuzziness_007,3,wodt,11,0.6496,0.7080789946140036,0.4229037100579026,0.5295381310418905,0.8525022441651704,0.6325846716056978,482,483,2.475477403961122
8,barbell_3d_fuzziness_007,3,wodt,12,0.5758,0.7321364452423699,0.36838301716350497,0.4901442307692308,0.8548704342161708,0.6348946759641687,637,638,3.0610885797068477
