seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
1,radial_segment_2d_fuzziness_000,2,randcart,0,0.6856,0.0,,,0.0,0.0,0,1,7.292255759239197e-06
1,radial_segment_2d_fuzziness_000,2,randcart,1,0.6856,0.0,,,0.46501272264631055,0.3705321590855859,1,2,6.629107965156436
1,radial_segment_2d_fuzziness_000,2,randcart,2,0.6856,0.0,,,0.7293256997455471,0.6231146314092968,3,4,11.265020017046481
1,radial_segment_2d_fuzziness_000,2,randcart,3,0.6856,0.0,,,0.8346055979643767,0.6807924878158813,6,7,14.743303493130952
1,radial_segment_2d_fuzziness_000,2,randcart,4,0.7644,0.9770992366412213,0.573562359970127,0.7228235294117648,0.9018235793044957,0.6974010920237752,11,12,17.42617191793397
1,radial_segment_2d_fuzziness_000,2,randcart,5,0.763,0.9949109414758269,0.5705946734768332,0.7252492464641779,0.9344783715012721,0.6848669445628388,17,18,19.633447483181953
1,radial_segment_2d_fuzziness_000,2,randcart,6,0.7822,0.3657760814249364,0.8620689655172413,0.5136221527467619,0.9089752486699054,0.59660363645693,21,22,21.758632123004645
1,radial_segment_2d_fuzziness_000,2,randcart,7,0.8794,0.9204834605597965,0.7516883116883117,0.8275664855590507,0.883156857916769,0.5995346012882652,30,31,21.66026487061754
1,radial_segment_2d_fuzziness_000,2,randcart,8,0.955,0.9408396946564885,0.9180633147113594,0.9293119698397737,0.8849509269356597,0.5713546283791755,34,35,22.750413896050304
1,radial_segment_2d_fuzziness_000,2,randcart,9,0.9622,0.9465648854961832,0.9340866290018832,0.9402843601895735,0.8970763878070311,0.5770010242665886,48,49,23.275488988030702
1,radial_segment_2d_fuzziness_000,2,randcart,10,0.9838,0.9809160305343512,0.967984934086629,0.9744075829383887,0.897541656406468,0.5596465588805535,61,62,22.87686746614054
1,radial_segment_2d_fuzziness_000,2,randcart,11,0.991,0.982824427480916,0.9884836852207294,0.985645933014354,0.9085456528204621,0.5474115389632721,76,77,23.209825901780277
1,radial_segment_2d_fuzziness_000,2,randcart,12,0.9904,0.9866412213740458,0.9828897338403042,0.9847619047619047,0.8952560214716441,0.5300450595082786,72,73,24.317944259848446
