shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,cart,0,0.5733,0.0,,,0.0,0.0,0,1,0,0.0,,,,1.0488089174032211e-05
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,cart,1,0.5845,0.9695336301851418,0.5068610634648371,0.6657011827178374,0.4695336301851418,0.3775445575269136,1,2,1,0.0,,,,29.94369041873142
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,cart,2,0.677,0.9407077572064683,0.574166785867544,0.7130929117072303,0.7000820248418094,0.4722481289149434,3,4,1,1.0,,,,49.63262901920825
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,cart,3,0.7305,0.9238340754628545,0.6245247148288974,0.7452500236317231,0.8261952191235062,0.5774051411607972,7,8,2,1.0,,,,64.1891542817466
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,cart,4,0.7814,0.905319896883056,0.6843224092116917,0.7794592413236481,0.8865869853917663,0.6332580188906787,14,15,2,1.0,,,,76.11876719584689
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,cart,5,0.788,0.9313334895711273,0.6850543009825892,0.7894318633293603,0.9039703255941751,0.6636024820384356,28,29,2,1.0,,,,85.3181339208968
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,cart,6,0.8136,0.6920553081790485,0.8429917213816729,0.7601029601029601,0.9126705846298067,0.6090355887086851,51,52,2,1.0,,,,91.52652467461303
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,cart,7,0.8848,0.8704007499414108,0.8611175515882217,0.8657342657342657,0.9195671674357337,0.5999101539215408,86,87,2,1.0,,,,93.12742642499506
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,cart,8,0.9017,0.9118818842277947,0.865051133837261,0.8878494010268111,0.9193407704872674,0.5786851282129473,132,133,2,1.0,,,,96.15664231078699
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,cart,9,0.9223,0.8774314506679166,0.9364682341170585,0.9059891107078041,0.9177543695188288,0.5588134161794307,189,190,2,1.0,,,,98.10663141775876
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,cart,10,0.9293,0.9046168268104054,0.9278846153846154,0.9161030022546578,0.9095504071482512,0.5480816256155439,251,252,2,1.0,,,,98.25643680384383
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,cart,11,0.9429,0.905788610264823,0.9581060981655924,0.9312131068545959,0.9018009074407527,0.5295343368510692,321,322,2,1.0,,,,99.6999444370158
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,cart,12,0.9482,0.9231310053902039,0.9539840155001211,0.9383039542639352,0.8908561432541144,0.5151844576489857,391,392,2,1.0,,,,100.12345771631226
