shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,oc1,0,0.5733,0.0,,,0.0,0.0,0,1,0,0.0,0.0,0.0,,0.0006151371635496616
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,oc1,1,0.5849,0.9697679868760253,0.5071078431372549,0.6659692604812103,0.46976798687602517,0.378540043569767,1,2,2,0.0,0.0,0.0,,46.78585988190025
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,oc1,2,0.6754,0.9439887508788376,0.5725657427149965,0.7127941957175722,0.7017225216779939,0.47802793945139377,3,4,2,2.0,0.0,0.0,,82.24797371495515
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,oc1,3,0.7286,0.9296929927349425,0.6216893903776838,0.7451164537941398,0.805249589875791,0.5252869441017181,6,7,2,2.0,0.0,0.0,,109.16016070125625
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,oc1,4,0.7847,0.9144598078275135,0.6857644991212654,0.7837702119112182,0.8505443466774614,0.5583623986228659,10,11,2,2.0,0.0,0.0,,132.92880260013044
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,oc1,5,0.7893,0.9371924068432154,0.6849948612538541,0.7914893617021277,0.8586089080211665,0.5755651012130596,18,19,2,2.0,0.0,0.0,,157.09376670094207
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,oc1,6,0.8358,0.7363487227560347,0.8587045640885488,0.7928337118344688,0.8427556741360351,0.528524846280557,25,26,2,2.0,0.0,0.0,,165.35226777708158
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,oc1,7,0.8985,0.8769627372861495,0.8842155009451795,0.8805741851982586,0.8740391375673777,0.5334200752630651,39,40,2,2.0,0.0,0.0,,174.9575545839034
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,oc1,8,0.9191,0.891024138739161,0.9170284611673902,0.9038392963271128,0.8885438637606438,0.5300669796749069,59,60,2,2.0,0.0,0.0,,185.64625939074904
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,oc1,9,0.9276,0.9015701898289196,0.9267646350277041,0.9139938227607507,0.9031909513648193,0.4845401646110372,94,95,2,2.0,0.0,0.0,,194.96667657326907
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,oc1,10,0.9317,0.9100070307007265,0.9285031085604973,0.919162031009587,0.9136589353563054,0.5129963459183848,126,127,2,2.0,0.0,0.0,,210.60366240283474
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,oc1,11,0.9447,0.9018045465198031,0.9663485685585133,0.9329615710995273,0.9133142171797244,0.4864503698115674,169,170,2,2.0,0.0,0.0,,213.79618339519948
radial_segment_2d,0.003,10000,8,radial_segment_2d_fuzziness_003,2,oc1,12,0.948,0.9200843684087181,0.956394640682095,0.937888198757764,0.9287888813833478,0.5107897574978315,203,204,2,2.0,0.0,0.0,,213.11976248864084
