seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
1,radial_segment_2d_fuzziness_003,2,ridge_cart,0,0.5698,0.0,,,0.0,0.0,0,1,0.00023380108177661896
1,radial_segment_2d_fuzziness_003,2,ridge_cart,1,0.5762,0.9716410971641097,0.503857280617165,0.6635973964121289,0.47164109716410985,0.3755829253757179,1,2,11.206941005308181
1,radial_segment_2d_fuzziness_003,2,ridge_cart,2,0.657,0.9581589958158996,0.559142702116115,0.7061846839129691,0.7200139470013946,0.5603155842315228,3,4,18.52142526488751
1,radial_segment_2d_fuzziness_003,2,ridge_cart,3,0.7166,0.9414225941422594,0.6106755126658625,0.7408084872873605,0.8453626220362622,0.6224465072454373,7,8,24.389254049863666
1,radial_segment_2d_fuzziness_003,2,ridge_cart,4,0.7762,0.9218967921896792,0.6758691206543967,0.7799410029498526,0.9046083217108323,0.6387765639101528,15,16,29.19975004903972
1,radial_segment_2d_fuzziness_003,2,ridge_cart,5,0.7776,0.9363086936308693,0.6738039478086316,0.783657587548638,0.9043511200647416,0.6159382088443655,26,27,33.237612918019295
1,radial_segment_2d_fuzziness_003,2,ridge_cart,6,0.8472,0.8186889818688982,0.824824355971897,0.8217452169855343,0.9161962320958139,0.6329637036816376,41,42,35.35785774094984
1,radial_segment_2d_fuzziness_003,2,ridge_cart,7,0.885,0.8628544862854486,0.8689138576779026,0.8658735712619547,0.9246197781762637,0.5913286843368701,62,63,37.1974969310686
1,radial_segment_2d_fuzziness_003,2,ridge_cart,8,0.9096,0.901441190144119,0.8898577329050023,0.8956120092378752,0.9225011622501165,0.5732917470710619,89,90,38.31841738009825
1,radial_segment_2d_fuzziness_003,2,ridge_cart,9,0.923,0.8902835890283589,0.9278100775193798,0.9086595492289443,0.9146908414690842,0.5450935666289645,121,122,38.936532796826214
1,radial_segment_2d_fuzziness_003,2,ridge_cart,10,0.9356,0.9172477917247792,0.9319792158715163,0.9245548266166824,0.9077501221852684,0.5330868334574344,155,156,40.31512404233217
1,radial_segment_2d_fuzziness_003,2,ridge_cart,11,0.9452,0.9288702928870293,0.9428975932043416,0.935831381733021,0.9009886544605676,0.5329826663183861,187,188,40.92453780118376
1,radial_segment_2d_fuzziness_003,2,ridge_cart,12,0.9528,0.9214318921431892,0.9673011224987799,0.9438095238095238,0.8927014938363593,0.5190868315334387,218,219,41.669598896987736
