shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
radial_segment_2d,0.003,10000,11,radial_segment_2d_fuzziness_003,2,wodt,0,0.5733,0.0,,,0.0,0.0,0,1,0,0.0,,,,0.0003281417302787304
radial_segment_2d,0.003,10000,11,radial_segment_2d_fuzziness_003,2,wodt,1,0.5791,0.9744551206936958,0.5035117461855171,0.6639520958083832,0.4744551206936958,0.38946550059569995,1,2,2,0.0,,,,0.021671100053936243
radial_segment_2d,0.003,10000,11,radial_segment_2d_fuzziness_003,2,wodt,2,0.6079,0.9646121396765878,0.5219376109561248,0.6773636139224883,0.7266815092570893,0.5455374723839119,3,4,2,2.0,,,,0.051072088070213795
radial_segment_2d,0.003,10000,11,radial_segment_2d_fuzziness_003,2,wodt,3,0.676,0.9533630185141786,0.5722323814882543,0.7151898734177214,0.8508026716662762,0.5490917170294498,7,8,2,2.0,,,,0.08788878004997969
radial_segment_2d,0.003,10000,11,radial_segment_2d_fuzziness_003,2,wodt,4,0.6763,0.9533630185141786,0.5724739656628202,0.7153785280928515,0.8999492227169754,0.619314384896352,14,15,2,2.0,,,,0.13941476168110967
radial_segment_2d,0.003,10000,11,radial_segment_2d_fuzziness_003,2,wodt,5,0.6763,0.9533630185141786,0.5724739656628202,0.7153785280928515,0.8985511242228317,0.5932348827535259,24,25,2,2.0,,,,0.20356316678225994
radial_segment_2d,0.003,10000,11,radial_segment_2d_fuzziness_003,2,wodt,6,0.6745,0.9561752988047809,0.5707890318970341,0.7148488830486202,0.9204359034450438,0.6199712819689376,40,41,2,2.0,,,,0.30047262692824006
radial_segment_2d,0.003,10000,11,radial_segment_2d_fuzziness_003,2,wodt,7,0.6272,0.31122568549332086,0.627302786962683,0.4160401002506266,0.9023904382470118,0.6025336257748934,67,68,2,2.0,,,,0.4299278468824923
radial_segment_2d,0.003,10000,11,radial_segment_2d_fuzziness_003,2,wodt,8,0.6144,0.6090930396062808,0.5429287654063087,0.57411089021427,0.8717010515811516,0.5886014439352509,104,105,2,2.0,,,,0.5891131795942783
radial_segment_2d,0.003,10000,11,radial_segment_2d_fuzziness_003,2,wodt,9,0.6995,0.8638387625966721,0.6032733224222586,0.7104172689602005,0.8643708156246241,0.5690038656857552,156,157,2,2.0,,,,0.791033545974642
radial_segment_2d,0.003,10000,11,radial_segment_2d_fuzziness_003,2,wodt,10,0.7002,0.862432622451371,0.6041700870136266,0.7105618845336937,0.8553752902827196,0.5594033779521634,229,230,2,2.0,,,,1.0248510809615254
radial_segment_2d,0.003,10000,11,radial_segment_2d_fuzziness_003,2,wodt,11,0.7098,0.8741504569955473,0.6119770303527482,0.7199382358618027,0.8379032888055622,0.5567161548513584,320,321,2,2.0,,,,1.2928562997840345
radial_segment_2d,0.003,10000,11,radial_segment_2d_fuzziness_003,2,wodt,12,0.7333,0.7904851183501289,0.6554605518849592,0.7166684372676088,0.819032941017585,0.5419983144698313,432,433,2,2.0,,,,1.587946369778365
