seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
11,radial_segment_2d_fuzziness_007,2,co2,0,0.5578,1.0,0.5578,0.7161381435357556,0.0,0.0,0,1,9.414507076144218e-05
11,radial_segment_2d_fuzziness_007,2,co2,1,0.6586,0.9315166726425242,0.6315021876519202,0.7527162103433289,0.43151667264252436,0.24550670714684086,1,2,0.20916244108229876
11,radial_segment_2d_fuzziness_007,2,co2,2,0.7112,0.8831122266045177,0.6877967048310528,0.7733124018838304,0.5564718537110074,0.272176133080015,2,3,0.566245368681848
11,radial_segment_2d_fuzziness_007,2,co2,3,0.7418,0.8583721764073144,0.7276595744680852,0.7876295443329496,0.7021871638580137,0.37161883028322684,4,5,0.5825557392090559
11,radial_segment_2d_fuzziness_007,2,co2,4,0.7702,0.8253854428110434,0.7766531713900134,0.8002781157656874,0.769496235209753,0.3734609576251269,7,8,0.8383657564409077
11,radial_segment_2d_fuzziness_007,2,co2,5,0.7702,0.8253854428110434,0.7766531713900134,0.8002781157656874,0.7703891662299693,0.4290264604725238,12,13,0.9691045479848981
11,radial_segment_2d_fuzziness_007,2,co2,6,0.777,0.8483327357475797,0.7737083060824068,0.8093039165383957,0.7492604876299749,0.41409904064862535,15,16,1.2632172908633947
11,radial_segment_2d_fuzziness_007,2,co2,7,0.794,0.8149874506991753,0.8155722999641192,0.8152797704447634,0.7780566511294371,0.3685932013563422,20,21,2.12527468893677
11,radial_segment_2d_fuzziness_007,2,co2,8,0.8172,0.809967730369308,0.8547105561861521,0.8317378497790869,0.8160631050555753,0.4325808431089495,28,29,2.2142582493834198
11,radial_segment_2d_fuzziness_007,2,co2,9,0.8198,0.8027967013266404,0.8644787644787645,0.832496746607176,0.7710924786937694,0.40244913684536776,25,26,3.2186426362022758
