seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
1,radial_segment_3d_fuzziness_003,3,hhcart_d,0,0.6969,0.0,,,0.0,0.0,0,1,1.0314863175153732e-05
1,radial_segment_3d_fuzziness_003,3,hhcart_d,1,0.6969,0.0,,,0.4745958429561201,0.4286775037907935,1,2,79.30053659202531
1,radial_segment_3d_fuzziness_003,3,hhcart_d,2,0.7684,0.7716925107225339,0.5902094372949785,0.6688590220188733,0.6173705047838998,0.47194350643527216,3,4,128.96658427640796
1,radial_segment_3d_fuzziness_003,3,hhcart_d,3,0.8062,0.8901352688881558,0.627004415524053,0.7357512953367875,0.7552375453645663,0.5232249177228625,7,8,155.7779115079902
1,radial_segment_3d_fuzziness_003,3,hhcart_d,4,0.857,0.90498185417354,0.706048906048906,0.7932330827067668,0.85518393269548,0.5801488735370985,15,16,174.93063985090703
1,radial_segment_3d_fuzziness_003,3,hhcart_d,5,0.8814,0.8924447377103266,0.758765778401122,0.8201940570042451,0.9061206245144262,0.6278853099190131,30,31,186.26421350287274
1,radial_segment_3d_fuzziness_003,3,hhcart_d,6,0.889,0.9274166941603431,0.7595244528505809,0.8351158645276292,0.9116687090540607,0.5913681721524411,55,56,196.41774268820882
1,radial_segment_3d_fuzziness_003,3,hhcart_d,7,0.9187,0.8304190036291653,0.8938210227272727,0.8609543355566958,0.9190624087494361,0.5737562218201595,86,87,201.40976475225762
1,radial_segment_3d_fuzziness_003,3,hhcart_d,8,0.9427,0.8904651930056087,0.9180272108843538,0.9040361748450846,0.9230292355338916,0.5681464903311053,123,124,205.13201597938314
1,radial_segment_3d_fuzziness_003,3,hhcart_d,9,0.9503,0.908940943582976,0.925739247311828,0.9172631929415682,0.9239680167679085,0.5595827076157345,169,170,208.67663181386888
1,radial_segment_3d_fuzziness_003,3,hhcart_d,10,0.9611,0.9379742659188387,0.9339684625492772,0.9359670781893005,0.9208014101201167,0.55108901183585,215,216,210.86095685511827
1,radial_segment_3d_fuzziness_003,3,hhcart_d,11,0.966,0.9458924447377103,0.9421623397962537,0.9440237076061904,0.9192823581610716,0.5455059220127965,260,261,213.085592309013
1,radial_segment_3d_fuzziness_003,3,hhcart_d,12,0.9709,0.9577697129660178,0.946836268754077,0.952271608988027,0.9104017187158064,0.5349057537522102,296,297,215.51119516510516
