shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
radial_segment_3d,0.007,10000,1,radial_segment_3d_fuzziness_007,3,hhcart_d,0,0.6122,0.0,,,0.0,0.0,0,1,0,0.0,,,0.0,1.0506249964237213e-05
radial_segment_3d,0.007,10000,1,radial_segment_3d_fuzziness_007,3,hhcart_d,1,0.6122,0.0,,,0.4556472408457968,0.3594060527967058,1,2,3,0.0,,,0.0,85.49353439034894
radial_segment_3d,0.007,10000,1,radial_segment_3d_fuzziness_007,3,hhcart_d,2,0.7731,0.7516761217122228,0.6905946458185264,0.7198419557970119,0.594636410520887,0.4052765424408482,3,4,3,3.0,,,0.0,141.42476958036423
radial_segment_3d,0.007,10000,1,radial_segment_3d_fuzziness_007,3,hhcart_d,3,0.8045,0.8109850438370294,0.7201740325166018,0.7628865979381444,0.7225373904074266,0.41303047804807647,7,8,3,3.0,,,0.0,171.27178823621944
radial_segment_3d,0.007,10000,1,radial_segment_3d_fuzziness_007,3,hhcart_d,4,0.8201,0.8089221248066013,0.7477949940405244,0.7771584293323424,0.8103403816400205,0.38358049575477193,15,16,3,3.0,,,0.0,193.02966374205425
radial_segment_3d,0.007,10000,1,radial_segment_3d_fuzziness_007,3,hhcart_d,5,0.8342,0.8574007220216606,0.7505643340857788,0.800433317284545,0.8676737260643166,0.4584510566551081,30,31,3,3.0,,,0.0,213.68247663602233
radial_segment_3d,0.007,10000,1,radial_segment_3d_fuzziness_007,3,hhcart_d,6,0.8416,0.8478597215059309,0.7678654834189631,0.8058823529411765,0.8796876151182496,0.4869137988159382,55,56,3,3.0,,,0.0,233.1829333449714
radial_segment_3d,0.007,10000,1,radial_segment_3d_fuzziness_007,3,hhcart_d,7,0.8556,0.889118102114492,0.7727476467951592,0.8268585131894485,0.8937097606015738,0.5047903880881326,92,93,3,3.0,,,0.0,245.39390634093434
radial_segment_3d,0.007,10000,1,radial_segment_3d_fuzziness_007,3,hhcart_d,8,0.8876,0.8720990201134605,0.8433915211970074,0.8575050709939148,0.8933062430990852,0.5064222804844838,148,149,3,3.0,,,0.0,253.19625812396407
radial_segment_3d,0.007,10000,1,radial_segment_3d_fuzziness_007,3,hhcart_d,9,0.9036,0.8947911294481692,0.8618976651763537,0.8780364372469636,0.8962836561199534,0.51948929482117,216,217,3,3.0,,,0.0,258.5305745867081
radial_segment_3d,0.007,10000,1,radial_segment_3d_fuzziness_007,3,hhcart_d,10,0.9195,0.8945332645693657,0.897542043984476,0.8960351285031641,0.8947249208982064,0.5235599428837516,295,296,3,3.0,,,0.0,262.40897900098935
radial_segment_3d,0.007,10000,1,radial_segment_3d_fuzziness_007,3,hhcart_d,11,0.9296,0.905363589479113,0.9124220374220374,0.9088791095003884,0.8863086955373389,0.5174704144443683,370,371,3,3.0,,,0.0,266.829029366374
radial_segment_3d,0.007,10000,1,radial_segment_3d_fuzziness_007,3,hhcart_d,12,0.9391,0.9223826714801444,0.9207207207207208,0.9215509467989179,0.8828264303406361,0.5211778277069059,445,446,3,3.0,,,0.0,266.82891547773033
