seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
1,radial_segment_3d_fuzziness_007,3,wodt,0,0.6156,0.0,,,0.0,0.0,0,1,0.0004713330417871475
1,radial_segment_3d_fuzziness_007,3,wodt,1,0.6631,0.37304890738813734,0.5992478061011283,0.4598364598364598,0.12695109261186266,0.15415690787864,1,2,0.021785208024084568
1,radial_segment_3d_fuzziness_007,3,wodt,2,0.6641,0.7000520291363164,0.549520114355728,0.6157190252831484,0.2860301768990636,0.36057378779367566,3,4,0.05235860822722316
1,radial_segment_3d_fuzziness_007,3,wodt,3,0.6658,0.6467221644120708,0.5561521252796421,0.5980274236228049,0.4486645855012139,0.35832814780906763,7,8,0.09348925715312362
1,radial_segment_3d_fuzziness_007,3,wodt,4,0.6089,0.6480228928199792,0.4933650227767875,0.5602159001461824,0.4998265695456119,0.4098688876287355,14,15,0.14961034804582596
1,radial_segment_3d_fuzziness_007,3,wodt,5,0.6265,0.6116024973985432,0.5118658828652297,0.557307099679981,0.5929695629552549,0.39781392795742665,28,29,0.23250585375353694
1,radial_segment_3d_fuzziness_007,3,wodt,6,0.6789,0.6061394380853278,0.5785944872113236,0.5920467539067463,0.6738736655490039,0.4298122815269547,51,52,0.37338901683688164
1,radial_segment_3d_fuzziness_007,3,wodt,7,0.6914,0.6069198751300728,0.5969805527123848,0.6019091847265222,0.6797673363750367,0.4129580869311329,86,87,0.5489704231731594
1,radial_segment_3d_fuzziness_007,3,wodt,8,0.6897,0.6129032258064516,0.5933014354066986,0.6029430582213693,0.6887381461920563,0.41882489934415035,144,145,0.8629966052249074
1,radial_segment_3d_fuzziness_007,3,wodt,9,0.672,0.578563995837669,0.572605561277034,0.5755693581780538,0.735615474077248,0.44282069526481194,235,236,1.3085905932821333
1,radial_segment_3d_fuzziness_007,3,wodt,10,0.6816,0.5946930280957337,0.5843558282208589,0.5894791129448168,0.7253586058825849,0.4272499994814034,362,363,1.8686547670513391
1,radial_segment_3d_fuzziness_007,3,wodt,11,0.6616,0.5556711758584808,0.5603357817418678,0.5579937304075235,0.7428394244211103,0.434402031983268,527,528,2.7113429298624396
1,radial_segment_3d_fuzziness_007,3,wodt,12,0.6489,0.6103017689906347,0.5381968341362698,0.5719858588321346,0.7485473280966544,0.43915861439283943,712,713,3.4104314781725407
