shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
rectangle_2d,0.0,10000,11,rectangle_2d_fuzziness_000,2,ridge_cart,0,0.7506,0.0,,,0.0,0.0,0,1,0,0.0,,,,0.0002941600978374481
rectangle_2d,0.0,10000,11,rectangle_2d_fuzziness_000,2,ridge_cart,1,0.7506,0.0,,,0.4983961507618284,0.49376320384265604,1,2,2,0.0,,,,41.783211431931704
rectangle_2d,0.0,10000,11,rectangle_2d_fuzziness_000,2,ridge_cart,2,0.7506,0.0,,,0.7121090617481955,0.6398940420060686,3,4,2,1.5,,,,70.22718958603218
rectangle_2d,0.0,10000,11,rectangle_2d_fuzziness_000,2,ridge_cart,3,0.8913,0.8929430633520449,0.7308828355759763,0.8038260241833604,0.8115477145148358,0.648265710113773,6,7,2,1.5,,,,86.82933727977797
rectangle_2d,0.0,10000,11,rectangle_2d_fuzziness_000,2,ridge_cart,4,0.9322,0.8704891740176424,0.8594615993665875,0.8649402390438248,0.8764367816091956,0.6636732576374296,11,12,2,1.5,,,,94.66147435829043
rectangle_2d,0.0,10000,11,rectangle_2d_fuzziness_000,2,ridge_cart,5,0.9725,0.9827586206896551,0.9135296310100633,0.946880432683021,0.9205292702485965,0.7192418319199076,19,20,2,1.5,,,,103.44831392168999
rectangle_2d,0.0,10000,11,rectangle_2d_fuzziness_000,2,ridge_cart,6,0.9875,0.9863672814755413,0.964327714621717,0.9752229930624381,0.9407377706495588,0.6322539837624341,29,30,2,1.5,,,,107.39578239200637
rectangle_2d,0.0,10000,11,rectangle_2d_fuzziness_000,2,ridge_cart,7,0.9908,0.9839615076182838,0.9792498004788508,0.9815999999999999,0.9515324583879361,0.5964121959300615,40,41,2,1.5,,,,110.51860499801114
rectangle_2d,0.0,10000,11,rectangle_2d_fuzziness_000,2,ridge_cart,8,0.9943,0.9959903769045709,0.9814302647175029,0.9886567164179104,0.9603509962371231,0.59303005287541,51,52,2,1.5,,,,112.19311986025423
rectangle_2d,0.0,10000,11,rectangle_2d_fuzziness_000,2,ridge_cart,9,0.995,0.9951884522854851,0.984920634920635,0.990027921818907,0.9617700663410369,0.5958919129725393,54,55,2,1.5,,,,113.69149440294132
rectangle_2d,0.0,10000,11,rectangle_2d_fuzziness_000,2,ridge_cart,10,0.995,0.9951884522854851,0.984920634920635,0.990027921818907,0.9605087297232655,0.5888665332359719,56,57,2,1.5,,,,116.00278340606019
rectangle_2d,0.0,10000,11,rectangle_2d_fuzziness_000,2,ridge_cart,11,0.9959,0.9951884522854851,0.9884508164078056,0.9918081918081917,0.9573077079907033,0.5872160144282128,58,59,2,1.5,,,,117.52965620812029
rectangle_2d,0.0,10000,11,rectangle_2d_fuzziness_000,2,ridge_cart,12,0.9972,0.9951884522854851,0.9935948759007206,0.9943910256410255,0.9587074552696964,0.600324490039994,60,61,2,1.5,,,,116.6066242060624
