seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
11,rectangle_2d_fuzziness_003,2,hhcart_a,0,0.6932,0.0,,,0.0,0.0,0,1,5.861278623342514e-06
11,rectangle_2d_fuzziness_003,2,hhcart_a,1,0.6932,0.0,,,0.4791395045632334,0.41972385725967043,1,2,26.72105257632211
11,rectangle_2d_fuzziness_003,2,hhcart_a,2,0.6932,0.0,,,0.7141460234680574,0.5582873433306543,3,4,45.42612440511584
11,rectangle_2d_fuzziness_003,2,hhcart_a,3,0.8144,0.9380704041720991,0.633362676056338,0.7561744613767735,0.837190352020861,0.6434774544090893,7,8,57.86948965769261
11,rectangle_2d_fuzziness_003,2,hhcart_a,4,0.9546,0.9185136897001304,0.9324950363997353,0.9254515599343185,0.904416558018253,0.6881466804087037,15,16,65.62815524078906
11,rectangle_2d_fuzziness_003,2,hhcart_a,5,0.9566,0.9165580182529335,0.9404682274247491,0.9283591944536151,0.9324827714658221,0.6443088032885262,27,28,70.76422247290611
11,rectangle_2d_fuzziness_003,2,hhcart_a,6,0.9608,0.9269882659713168,0.9442231075697212,0.9355263157894738,0.9475369876991098,0.620675893420797,45,46,74.3772450638935
11,rectangle_2d_fuzziness_003,2,hhcart_a,7,0.964,0.9354628422425033,0.9465699208443272,0.940983606557377,0.9495673817707717,0.5682549735552096,65,66,78.18613471416757
11,rectangle_2d_fuzziness_003,2,hhcart_a,8,0.9662,0.9465449804432855,0.9434697855750487,0.94500488122356,0.9497480966407517,0.5915792413876786,80,81,80.7268486879766
11,rectangle_2d_fuzziness_003,2,hhcart_a,9,0.967,0.9504563233376793,0.9424692954104719,0.946445959104187,0.9439374185136895,0.5736440953306128,95,96,83.71227882103994
11,rectangle_2d_fuzziness_003,2,hhcart_a,10,0.9702,0.953715775749674,0.9493835171966256,0.9515447154471545,0.9391568883094308,0.5652477732702321,113,114,85.15368722425774
11,rectangle_2d_fuzziness_003,2,hhcart_a,11,0.9718,0.9439374185136897,0.9634065202927479,0.953572604543958,0.9333491367389675,0.5527313856134675,131,132,85.93180947611108
11,rectangle_2d_fuzziness_003,2,hhcart_a,12,0.9746,0.9621903520208605,0.9553398058252427,0.9587528418317636,0.9287887253988947,0.5451027262392183,146,147,87.56484340690076
