seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
1,rectangle_2d_fuzziness_003,2,oc1,0,0.6932,0.0,,,0.0,0.0,0,1,0.0004061642102897167
1,rectangle_2d_fuzziness_003,2,oc1,1,0.6932,0.0,,,0.48631029986962204,0.44186983269318425,1,2,16.694733718875796
1,rectangle_2d_fuzziness_003,2,oc1,2,0.6932,0.0,,,0.6179921773142112,0.5426375684143703,2,3,28.19060236122459
1,rectangle_2d_fuzziness_003,2,oc1,3,0.8524,0.8722294654498044,0.7117021276595744,0.7838312829525483,0.7102998696219032,0.5969721844506106,4,5,37.20282985502854
1,rectangle_2d_fuzziness_003,2,oc1,4,0.9128,0.8539765319426337,0.8607095926412615,0.8573298429319371,0.7798239895697523,0.6244170297911793,7,8,42.78448868729174
1,rectangle_2d_fuzziness_003,2,oc1,5,0.945,0.9204693611473272,0.9022364217252397,0.9112616973217167,0.8251847023033463,0.6362339538379065,11,12,46.54831396276131
1,rectangle_2d_fuzziness_003,2,oc1,6,0.9548,0.9152542372881356,0.936,0.9255108767303889,0.8634651600753294,0.6256558265947123,17,18,50.41600762400776
1,rectangle_2d_fuzziness_003,2,oc1,7,0.9588,0.9152542372881356,0.9486486486486486,0.9316522893165229,0.8823762825236665,0.5862369301318902,22,23,51.75036021694541
1,rectangle_2d_fuzziness_003,2,oc1,8,0.9618,0.9211212516297262,0.9527983816587997,0.9366920782234007,0.891233060724586,0.5500860126694775,32,33,53.92644710326567
1,rectangle_2d_fuzziness_003,2,oc1,9,0.962,0.9282920469361148,0.9468085106382979,0.9374588545095458,0.9252498913515863,0.5485135406302248,47,48,56.30555483791977
1,rectangle_2d_fuzziness_003,2,oc1,10,0.964,0.9302477183833116,0.9513333333333334,0.94067237969677,0.9264487703996762,0.4830534517920466,57,58,58.36360694793984
1,rectangle_2d_fuzziness_003,2,oc1,11,0.97,0.9289439374185137,0.9720327421555253,0.9500000000000001,0.9262021627425416,0.504684564538177,67,68,59.86736350413412
1,rectangle_2d_fuzziness_003,2,oc1,12,0.9682,0.9354628422425033,0.959866220735786,0.9475074281941235,0.943732538647793,0.5131891565784708,69,70,59.83991177706048
