shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
rectangle_2d,0.005,10000,8,rectangle_2d_fuzziness_005,2,wodt,0,0.636,0.0,,,0.0,0.0,0,1,0,0.0,,,,0.0003948020748794079
rectangle_2d,0.005,10000,8,rectangle_2d_fuzziness_005,2,wodt,1,0.636,0.0,,,0.07527472527472523,0.015251638037341086,1,2,2,0.0,,,,0.012212208006531
rectangle_2d,0.005,10000,8,rectangle_2d_fuzziness_005,2,wodt,2,0.6795,0.4857142857142857,0.5701386649467913,0.5245512535232162,0.4293956043956044,0.3880766669945239,3,4,2,2.0,,,,0.03753359196707606
rectangle_2d,0.005,10000,8,rectangle_2d_fuzziness_005,2,wodt,3,0.7678,0.8804945054945055,0.6294186959937156,0.7340815391662849,0.6472527472527474,0.5337499923490652,7,8,2,2.0,,,,0.07308094808831811
rectangle_2d,0.005,10000,8,rectangle_2d_fuzziness_005,2,wodt,4,0.8586,0.8365384615384616,0.7880434782608695,0.8115671641791045,0.7737531699070161,0.624896081450208,15,16,2,2.0,,,,0.12358452333137393
rectangle_2d,0.005,10000,8,rectangle_2d_fuzziness_005,2,wodt,5,0.873,0.8376373626373627,0.8178648068669528,0.8276330076004342,0.8211813186813188,0.6313772222282488,30,31,2,2.0,,,,0.20813495479524136
rectangle_2d,0.005,10000,8,rectangle_2d_fuzziness_005,2,wodt,6,0.8692,0.8752747252747253,0.7886138613861386,0.8296875,0.844877702942219,0.642614351945354,56,57,2,2.0,,,,0.3365912609733641
rectangle_2d,0.005,10000,8,rectangle_2d_fuzziness_005,2,wodt,7,0.8856,0.8370879120879121,0.8468593663146192,0.8419452887537994,0.8463091256569515,0.6203649917894181,98,99,2,2.0,,,,0.5539863421581686
rectangle_2d,0.005,10000,8,rectangle_2d_fuzziness_005,2,wodt,8,0.8856,0.8145604395604396,0.8634245777518929,0.8382810291207238,0.8679661608233036,0.6226219301027882,158,159,2,2.0,,,,0.8672717288136482
rectangle_2d,0.005,10000,8,rectangle_2d_fuzziness_005,2,wodt,9,0.8662,0.862912087912088,0.7891959798994975,0.8244094488188978,0.8722165991902835,0.6170740142010074,245,246,2,2.0,,,,1.1846079668030143
rectangle_2d,0.005,10000,8,rectangle_2d_fuzziness_005,2,wodt,10,0.8445,0.8714285714285714,0.7447757689598498,0.8031396379288518,0.8729966662550932,0.5923313505044991,355,356,2,2.0,,,,1.528932263609022
rectangle_2d,0.005,10000,8,rectangle_2d_fuzziness_005,2,wodt,11,0.8416,0.8728021978021978,0.7391810144253141,0.8004535147392291,0.8723738626964435,0.5855268960393145,479,480,2,2.0,,,,1.8794306288473308
rectangle_2d,0.005,10000,8,rectangle_2d_fuzziness_005,2,wodt,12,0.8417,0.8728021978021978,0.7393530370025599,0.8005543656293309,0.8737315875613745,0.5891676910946733,615,616,2,2.0,,,,2.0363426716066897
