shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
rectangle_2d,0.007,10000,1,rectangle_2d_fuzziness_007,2,cart,0,0.5943,0.0,,,0.0,0.0,0,1,0,0.0,,,,9.160023182630539e-06
rectangle_2d,0.007,10000,1,rectangle_2d_fuzziness_007,2,cart,1,0.5943,0.0,,,0.4438008380576781,0.2961712102594718,1,2,1,0.0,,,,30.251350795850158
rectangle_2d,0.007,10000,1,rectangle_2d_fuzziness_007,2,cart,2,0.702,0.8503820557061869,0.592478104070067,0.6983805668016194,0.6456125215676609,0.4546554001630474,3,4,2,1.0,,,,50.165888317395
rectangle_2d,0.007,10000,1,rectangle_2d_fuzziness_007,2,cart,3,0.7658,0.8025634705447375,0.6787575568063373,0.7354867856336119,0.753481636677348,0.4736424558286061,7,8,2,1.0,,,,62.00055919168517
rectangle_2d,0.007,10000,1,rectangle_2d_fuzziness_007,2,cart,4,0.8302,0.748582696573823,0.8174966352624495,0.7815234173957798,0.8183232684249446,0.5490665952027105,15,16,2,1.0,,,,70.26249673776329
rectangle_2d,0.007,10000,1,rectangle_2d_fuzziness_007,2,cart,5,0.8441,0.7919645057924575,0.8179735234215886,0.8047589229805887,0.8592397051690821,0.5670488477668669,30,31,2,1.0,,,,76.39319876767695
rectangle_2d,0.007,10000,1,rectangle_2d_fuzziness_007,2,cart,6,0.854,0.7742174020211979,0.8523744911804614,0.8114182381813485,0.8812232701546816,0.5947745868253747,56,57,2,1.0,,,,79.77381462883204
rectangle_2d,0.007,10000,1,rectangle_2d_fuzziness_007,2,cart,7,0.8769,0.8245008627064333,0.8656832298136646,0.8445903295038506,0.8896795661819081,0.5725350077295392,99,100,2,1.0,,,,82.17304690182209
rectangle_2d,0.007,10000,1,rectangle_2d_fuzziness_007,2,cart,8,0.8888,0.8079861966970668,0.9077817779008585,0.8549817423056859,0.8929717982168732,0.5466541408243395,163,164,2,1.0,,,,83.0058190394193
rectangle_2d,0.007,10000,1,rectangle_2d_fuzziness_007,2,cart,9,0.897,0.8124229726398817,0.9245441795231416,0.8648648648648649,0.8813435187916454,0.5250602719123061,243,244,2,1.0,,,,86.26068070530891
rectangle_2d,0.007,10000,1,rectangle_2d_fuzziness_007,2,cart,10,0.9055,0.8259797880207049,0.9334261838440111,0.8764221263240486,0.8727091931430113,0.524195443660685,350,351,2,1.0,,,,86.27280548214912
rectangle_2d,0.007,10000,1,rectangle_2d_fuzziness_007,2,cart,11,0.9153,0.8474242050776436,0.9378068739770867,0.8903275929043117,0.8633221429342612,0.5116223724857241,483,484,2,1.0,,,,87.72422234620899
rectangle_2d,0.007,10000,1,rectangle_2d_fuzziness_007,2,cart,12,0.9234,0.8678826719250677,0.9386830178619034,0.9018954918032787,0.8541182458903709,0.5093411263900132,614,615,2,1.0,,,,88.96945781586692
