shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,oc1,0,0.5943,0.0,,,0.0,0.0,0,1,0,0.0,0.0,0.0,,0.0005700360052287579
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,oc1,1,0.5943,0.0,,,0.4317229479911264,0.27838642397406765,1,2,2,0.0,0.0,0.0,,49.36509878700599
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,oc1,2,0.7143,0.815380823268425,0.6107828655834564,0.6984059959885992,0.6208405225536111,0.4291031079558052,3,4,2,2.0,0.0,0.0,,86.1919660079293
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,oc1,3,0.7721,0.7690411634212472,0.6992380098610489,0.7324803380678483,0.6948131976478047,0.46060785984659436,6,7,2,2.0,0.0,0.0,,111.42742265714332
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,oc1,4,0.8363,0.7236874537835839,0.8505214368482039,0.7819949394060459,0.755503308621376,0.516474956108421,12,13,2,2.0,0.0,0.0,,131.8552867816761
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,oc1,5,0.8613,0.7742174020211979,0.8696013289036545,0.8191420002607901,0.8023920009430829,0.4905224525094769,22,23,2,2.0,0.0,0.0,,145.7215175149031
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,oc1,6,0.8735,0.7936899186591078,0.8826754385964912,0.8358208955223881,0.8226743267413719,0.51010132729706,38,39,2,2.0,0.0,0.0,,158.40927248308435
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,oc1,7,0.8874,0.7858023169829924,0.925399129172714,0.8499066915489202,0.8374625867108003,0.4796035828136367,69,70,2,2.0,0.0,0.0,,166.86133059998974
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,oc1,8,0.8971,0.8262262755730836,0.911860718171926,0.8669339195654986,0.8685706937017075,0.5029965102542933,114,115,2,2.0,0.0,0.0,,172.71760572772473
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,oc1,9,0.9032,0.8289376386492482,0.92466318394281,0.8741876787106837,0.8805416667240427,0.49792789246100355,178,179,2,2.0,0.0,0.0,,183.40389929385856
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,oc1,10,0.9154,0.8617204831156027,0.9246231155778895,0.8920643021178872,0.8957102949634375,0.5130812130257161,299,300,2,2.0,0.0,0.0,,204.9106439561583
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,oc1,11,0.9229,0.8757702736011831,0.9301047120418848,0.9021200964834328,0.8934533456898415,0.5037627339491713,357,358,2,2.0,0.0,0.0,,213.16580139379948
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,oc1,12,0.935,0.8836578752772984,0.9526973159712995,0.9168797953964193,0.8981922676174492,0.5094257189642364,470,471,2,2.0,0.0,0.0,,238.7764584319666
