shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
rectangle_2d,0.007,10000,8,rectangle_2d_fuzziness_007,2,randcart,0,0.5943,0.0,,,0.0,0.0,0,1,0,0.0,,,,9.825918823480606e-06
rectangle_2d,0.007,10000,8,rectangle_2d_fuzziness_007,2,randcart,1,0.5943,0.0,,,0.44922356421000753,0.30617674461403976,1,2,2,0.0,,,,28.76017189817503
rectangle_2d,0.007,10000,8,rectangle_2d_fuzziness_007,2,randcart,2,0.6672,0.907074192753266,0.5549690846026241,0.6886227544910181,0.6767931969435543,0.4708403354032926,3,4,2,2.0,,,,48.95157604524866
rectangle_2d,0.007,10000,8,rectangle_2d_fuzziness_007,2,randcart,3,0.7889,0.839043628296771,0.700123406005759,0.7633142729005493,0.7826904116342126,0.5610034243008775,7,8,2,2.0,,,,63.31901855394244
rectangle_2d,0.007,10000,8,rectangle_2d_fuzziness_007,2,randcart,4,0.8119,0.7912250431353217,0.7563619227144204,0.7734007950849295,0.8622904855804783,0.5198812196268296,15,16,2,2.0,,,,71.64767122408375
rectangle_2d,0.007,10000,8,rectangle_2d_fuzziness_007,2,randcart,5,0.8579,0.852107468572837,0.8080878915381019,0.8295140971805638,0.8783090953906827,0.5273473638625537,29,30,2,2.0,,,,79.84338308032602
rectangle_2d,0.007,10000,8,rectangle_2d_fuzziness_007,2,randcart,6,0.8692,0.836578752772985,0.8403070066848229,0.8384387351778656,0.9029888898018059,0.5105856207514219,53,54,2,2.0,,,,83.89299845974892
rectangle_2d,0.007,10000,8,rectangle_2d_fuzziness_007,2,randcart,7,0.8798,0.7894996302686714,0.9019994367783722,0.8420084121976866,0.9017887153516932,0.5411001798879607,87,88,2,2.0,,,,87.82626836793497
rectangle_2d,0.007,10000,8,rectangle_2d_fuzziness_007,2,randcart,8,0.8926,0.8301700764111413,0.8974154010125233,0.8624839948783611,0.9064937072748833,0.5124918014016793,168,169,2,2.0,,,,89.5569461020641
rectangle_2d,0.007,10000,8,rectangle_2d_fuzziness_007,2,randcart,9,0.8944,0.8037959083066305,0.9261573416642999,0.8606492478226445,0.9007824399739606,0.5407075274821724,233,234,2,2.0,,,,92.5343498038128
rectangle_2d,0.007,10000,8,rectangle_2d_fuzziness_007,2,randcart,10,0.9069,0.8383041656396352,0.9251904243743199,0.8796068796068794,0.9022058667187471,0.5295419702011968,312,313,2,2.0,,,,96.1082143667154
rectangle_2d,0.007,10000,8,rectangle_2d_fuzziness_007,2,randcart,11,0.9099,0.8508750308109441,0.9210245464247598,0.8845611787315822,0.8967616395935387,0.5397002779930138,425,426,2,2.0,,,,99.44648535409942
rectangle_2d,0.007,10000,8,rectangle_2d_fuzziness_007,2,randcart,12,0.9236,0.888341138772492,0.9205619412515964,0.9041645760160562,0.8868516365669803,0.5397902971671118,535,536,2,2.0,,,,103.69995342427865
