seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
11,rectangle_2d_fuzziness_007,2,wodt,0,0.5948,0.0,,,0.0,0.0,0,1,0.0003127455711364746
11,rectangle_2d_fuzziness_007,2,wodt,1,0.5948,0.0,,,0.4797630799605135,0.3658142888510405,1,2,0.020032084081321955
11,rectangle_2d_fuzziness_007,2,wodt,2,0.5244,0.9639684106614018,0.45866604039455144,0.6215786123488224,0.6321158275748604,0.35220997195543924,3,4,0.0387810068204999
11,rectangle_2d_fuzziness_007,2,wodt,3,0.6686,0.7981243830207305,0.5643979057591623,0.6612144755673687,0.6977295162882526,0.3121270212790861,7,8,0.0676071010529995
11,rectangle_2d_fuzziness_007,2,wodt,4,0.683,0.9200394866732478,0.5670824459993915,0.7016751364577452,0.7939015026872878,0.44060022754695516,15,16,0.11766932345926762
11,rectangle_2d_fuzziness_007,2,wodt,5,0.7208,0.9136229022704837,0.6025390625,0.7261671243624951,0.8400030374364036,0.4764420256152089,29,30,0.19740900676697493
11,rectangle_2d_fuzziness_007,2,wodt,6,0.7334,0.8948667324777887,0.6181384248210023,0.7311958056059689,0.8629718422413388,0.4849256868910339,50,51,0.3022578442469239
11,rectangle_2d_fuzziness_007,2,wodt,7,0.7382,0.8914116485686081,0.6238341968911917,0.7339971550497867,0.8246016076716964,0.5119250635245389,83,84,0.43963252007961273
11,rectangle_2d_fuzziness_007,2,wodt,8,0.7336,0.7773938795656465,0.6412866449511401,0.7028112449799196,0.8181885488647584,0.525674641348572,130,131,0.627256658859551
11,rectangle_2d_fuzziness_007,2,wodt,9,0.753,0.8144126357354393,0.657632522917497,0.7276736493936053,0.8301524624328176,0.5258936071225695,195,196,0.890494367107749
11,rectangle_2d_fuzziness_007,2,wodt,10,0.7416,0.8124383020730503,0.6434714620797498,0.7181500872600348,0.8257940886127404,0.5265560992494969,279,280,1.1677448437549174
11,rectangle_2d_fuzziness_007,2,wodt,11,0.7634,0.8119447186574531,0.6722517368205967,0.7355242566510173,0.8308780722403626,0.517162852806599,375,376,1.437381540890783
11,rectangle_2d_fuzziness_007,2,wodt,12,0.7598,0.8129318854886476,0.6670716889428918,0.7328142380422692,0.8449182368341988,0.5328469204257997,489,490,1.836380363907665
