seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
8,saddle_3d_fuzziness_000,3,hhcart_d,0,0.6001,0.0,,,0.0,0.0,0,1,5.183741450309753e-06
8,saddle_3d_fuzziness_000,3,hhcart_d,1,0.6015,0.9557389347336834,0.5009174311926605,0.657322211712099,0.45573893473368354,0.37025118531221635,1,2,79.47534579690546
8,saddle_3d_fuzziness_000,3,hhcart_d,2,0.8191,0.8522130532633159,0.7367055771725033,0.7902608695652175,0.6454738684671169,0.44555097219671813,3,4,130.6067573139444
8,saddle_3d_fuzziness_000,3,hhcart_d,3,0.8309,0.7521880470117529,0.8112189859762675,0.7805890748670039,0.738278319579895,0.48327800696585,7,8,161.75065222475678
8,saddle_3d_fuzziness_000,3,hhcart_d,4,0.8557,0.8447111777944486,0.8042857142857143,0.8240029271862422,0.7836490372593148,0.4848901582711098,15,16,177.10724063310772
8,saddle_3d_fuzziness_000,3,hhcart_d,5,0.8852,0.9149787446861716,0.8191179762704276,0.8643987715568154,0.8465503472642355,0.533983756493901,30,31,190.72467102389783
8,saddle_3d_fuzziness_000,3,hhcart_d,6,0.91,0.9139784946236559,0.8679648539539302,0.8903775883069428,0.8879139427714071,0.5558307058319893,55,56,201.5396689940244
8,saddle_3d_fuzziness_000,3,hhcart_d,7,0.9263,0.9687421855463866,0.8635755684351315,0.9131408367707718,0.9068272502908337,0.5434164805307291,91,92,211.86252253409475
8,saddle_3d_fuzziness_000,3,hhcart_d,8,0.946,0.9547386846711677,0.9140531481924826,0.9339530332681018,0.9030474672931796,0.5262821252965029,128,129,216.53857428999618
8,saddle_3d_fuzziness_000,3,hhcart_d,9,0.9595,0.967741935483871,0.9334298118668596,0.9502762430939226,0.8946981968422043,0.5076245024219226,156,157,220.9915456310846
8,saddle_3d_fuzziness_000,3,hhcart_d,10,0.9706,0.9762440610152539,0.9514989032415306,0.9637126635398667,0.8863842304662186,0.4975925033508479,185,186,224.07139144511893
8,saddle_3d_fuzziness_000,3,hhcart_d,11,0.9786,0.9767441860465116,0.9699528184752918,0.9733366558684277,0.8859331111847728,0.48774399396411905,214,215,225.0137569908984
8,saddle_3d_fuzziness_000,3,hhcart_d,12,0.9842,0.9849962490622656,0.9757245479316324,0.9803384768541563,0.8824365182204641,0.48758552276176115,241,242,230.51369736902416
