shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
saddle_3d,0.003,10000,1,saddle_3d_fuzziness_003,3,cart,0,0.5365,0.0,,,0.0,0.0,0,1,0,0.0,,,,8.413102477788925e-06
saddle_3d,0.003,10000,1,saddle_3d_fuzziness_003,3,cart,1,0.6373,0.9499460625674218,0.5646319569120287,0.7082763612965496,0.44994606256742165,0.34274593460565406,1,2,1,0.0,,,,44.55817196285352
saddle_3d,0.003,10000,1,saddle_3d_fuzziness_003,3,cart,2,0.8169,0.8502696871628911,0.7760929499803072,0.8114897559971173,0.6424487594390507,0.40166597068738574,3,4,2,1.0,,,,71.92807779926807
saddle_3d,0.003,10000,1,saddle_3d_fuzziness_003,3,cart,3,0.8207,0.8604099244875943,0.7767822360732373,0.8164602313440475,0.7259708737864077,0.3879881058489323,7,8,2,1.0,,,,89.0234217941761
saddle_3d,0.003,10000,1,saddle_3d_fuzziness_003,3,cart,4,0.8453,0.8267529665587918,0.8374125874125874,0.832048637498643,0.7702939590075508,0.41981400545664305,15,16,3,1.0,,,,97.60570173989981
saddle_3d,0.003,10000,1,saddle_3d_fuzziness_003,3,cart,5,0.8765,0.8998921251348436,0.8439902873330636,0.8710452124882532,0.8137801440651427,0.49798192641462635,30,31,3,1.0,,,,105.81229854095727
saddle_3d,0.003,10000,1,saddle_3d_fuzziness_003,3,cart,6,0.8957,0.891477885652643,0.884417808219178,0.8879338132588374,0.8625339433842949,0.5372541612414303,57,58,3,1.0,,,,113.12581279082224
saddle_3d,0.003,10000,1,saddle_3d_fuzziness_003,3,cart,7,0.9166,0.9313915857605178,0.8932340161390441,0.9119138149556401,0.8762330541932184,0.5379532793561113,96,97,3,1.0,,,,118.38576869713143
saddle_3d,0.003,10000,1,saddle_3d_fuzziness_003,3,cart,8,0.9352,0.9348435814455232,0.9260525753366103,0.9304273137212797,0.8860855254059141,0.5227716344031452,155,156,3,1.0,,,,121.9376276070252
saddle_3d,0.003,10000,1,saddle_3d_fuzziness_003,3,cart,9,0.9471,0.941747572815534,0.9439878892733564,0.9428664002592073,0.8878359156475832,0.5052729809947225,225,226,3,1.0,,,,126.07406719494611
saddle_3d,0.003,10000,1,saddle_3d_fuzziness_003,3,cart,10,0.9572,0.9475728155339805,0.9595805112519117,0.953538862353452,0.8850741085546252,0.49386140007719614,291,292,3,1.0,,,,127.74171033594757
saddle_3d,0.003,10000,1,saddle_3d_fuzziness_003,3,cart,11,0.9646,0.9555555555555556,0.9676644090015294,0.9615718627876684,0.8838093625348085,0.4876549467661013,343,344,3,1.0,,,,129.4884848902002
saddle_3d,0.003,10000,1,saddle_3d_fuzziness_003,3,cart,12,0.9688,0.9611650485436893,0.9712230215827338,0.9661678594664932,0.8791021491992366,0.47989017737628203,389,390,3,1.0,,,,130.81876102136448
