shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,hhcart_a,0,0.5365,0.0,,,0.0,0.0,0,1,0,0.0,,,,9.695999324321747e-06
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,hhcart_a,1,0.6359,0.952319309600863,0.5634414092417667,0.7079958296575507,0.45231930960086286,0.346678340969097,1,2,3,0.0,,,,244.32275913702324
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,hhcart_a,2,0.8157,0.8515641855447681,0.7736181889455116,0.8107219882920818,0.6418015102481123,0.42195787744933777,3,4,3,3.0,,,,406.6997465090826
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,hhcart_a,3,0.8196,0.7521035598705501,0.841825645979232,0.7944393801276206,0.7253775620280476,0.39578655133447604,7,8,3,3.0,,,,500.36889796098694
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,hhcart_a,4,0.8468,0.8194174757281554,0.8453149343423103,0.8321647677475899,0.7682443365695792,0.42458141923156756,15,16,3,3.0,,,,559.7313533448614
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,hhcart_a,5,0.8785,0.8806903991370011,0.8604553119730185,0.8704552724171019,0.8131676932178029,0.47042650300125266,30,31,3,3.0,,,,604.2390890722163
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,hhcart_a,6,0.9006,0.888673139158576,0.8960191429192952,0.8923310225303293,0.8694184219989023,0.5251395596939066,56,57,3,3.0,,,,642.0590983517468
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,hhcart_a,7,0.9236,0.9596548004314994,0.8851741293532338,0.920910973084886,0.8918520048658451,0.5453729650596919,93,94,3,3.0,,,,662.3487920286134
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,hhcart_a,8,0.9429,0.9447680690399137,0.9328930549637836,0.9387930110408403,0.8984107449443157,0.5220840007808725,141,142,3,3.0,,,,689.2959879650734
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,hhcart_a,9,0.9552,0.9624595469255663,0.9421330517423443,0.9521878335112061,0.9013402634761858,0.5082660927568523,197,198,3,3.0,,,,704.1829359037802
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,hhcart_a,10,0.9618,0.9594390507011866,0.9581986640810171,0.9588184562311342,0.8970566825409356,0.49056405396839176,245,246,3,3.0,,,,719.1696772519499
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,hhcart_a,11,0.9678,0.9672060409924488,0.963464431549538,0.9653316106804479,0.8968068277547163,0.488859005167231,282,283,3,3.0,,,,734.2508766101673
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,hhcart_a,12,0.9734,0.9715210355987055,0.9711020056070735,0.9713114754098361,0.8976240728456852,0.49228381561272005,321,322,3,3.0,,,,747.5794238606468
