seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
1,saddle_3d_fuzziness_003,3,randcart,0,0.5384,0.0,,,0.0,0.0,0,1,9.088311344385147e-06
1,saddle_3d_fuzziness_003,3,randcart,1,0.5502,0.9692374350086655,0.5066817667044168,0.6654767217016212,0.46923743500866566,0.30675478235138187,1,2,41.30938847921789
1,saddle_3d_fuzziness_003,3,randcart,2,0.639,0.9677209705372617,0.5634460141271443,0.7122130102040817,0.7030979202772962,0.44156530913864533,3,4,73.52657591924071
1,saddle_3d_fuzziness_003,3,randcart,3,0.7488,0.6425476603119584,0.7748171368861024,0.7025106584557081,0.6638864818024264,0.34130849717448153,7,8,92.39753371104598
1,saddle_3d_fuzziness_003,3,randcart,4,0.7864,0.9181109185441941,0.7068045363575717,0.7987184319638145,0.856152512998267,0.46284874964983036,15,16,114.13293241709471
1,saddle_3d_fuzziness_003,3,randcart,5,0.8818,0.9330589254766031,0.8314671814671815,0.8793385055124541,0.8384031554413436,0.44700004846706576,28,29,105.72688050102443
1,saddle_3d_fuzziness_003,3,randcart,6,0.9103,0.91421143847487,0.8938784155899174,0.9039305986933704,0.8591024742800255,0.5230685748766364,46,47,116.30417460994795
1,saddle_3d_fuzziness_003,3,randcart,7,0.9235,0.9391247833622184,0.8995642249429342,0.9189189189189189,0.900865330631972,0.4800636202420492,70,71,133.43492132192478
1,saddle_3d_fuzziness_003,3,randcart,8,0.9376,0.9499566724436742,0.9177480117203851,0.9335746220992123,0.906713887423706,0.44661079335534715,114,115,141.91023287409917
1,saddle_3d_fuzziness_003,3,randcart,9,0.9551,0.9623050259965338,0.9417002331990671,0.9518911389692488,0.8917286943629092,0.5026539546839306,172,173,140.47994995117188
1,saddle_3d_fuzziness_003,3,randcart,10,0.9645,0.9568890814558059,0.9658867264377871,0.9613668516704755,0.9061907551606576,0.4633170579268171,212,213,150.34338357998058
1,saddle_3d_fuzziness_003,3,randcart,11,0.9675,0.962521663778163,0.9669205658324266,0.964716100314841,0.9004646263966969,0.4889183479598993,245,246,140.04158138297498
1,saddle_3d_fuzziness_003,3,randcart,12,0.9748,0.9679376083188909,0.9772528433945756,0.9725729212015672,0.9008794686588371,0.46123826058939565,321,322,129.64047210197896
