shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,ridge_cart,0,0.5365,0.0,,,0.0,0.0,0,1,0,0.0,,,,0.000272141769528389
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,ridge_cart,1,0.6373,0.9499460625674218,0.5646319569120287,0.7082763612965496,0.44994606256742165,0.34274593460565406,1,2,1,0.0,,,,58.51786283077672
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,ridge_cart,2,0.8169,0.8502696871628911,0.7760929499803072,0.8114897559971173,0.6424487594390507,0.40166597068738574,3,4,2,1.0,,,,94.85299932211637
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,ridge_cart,3,0.8207,0.8604099244875943,0.7767822360732373,0.8164602313440475,0.7258629989212513,0.38263509206201585,7,8,3,1.0,,,,115.00918277585879
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,ridge_cart,4,0.8454,0.827831715210356,0.8368593238822246,0.8323210412147505,0.7712108953613808,0.46143469731859077,15,16,3,1.0,,,,129.2741929879412
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,ridge_cart,5,0.8778,0.9121898597626753,0.8383898473131073,0.87373424261211,0.808967997123337,0.4845645451300107,29,30,3,1.0,,,,140.20753855630755
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,ridge_cart,6,0.899,0.8970873786407767,0.886378170965679,0.8917006219172208,0.8648233312515377,0.5391130149597794,56,57,3,1.0,,,,149.87664900301024
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,ridge_cart,7,0.9268,0.944336569579288,0.9022881880024737,0.9228336495888679,0.8893534112674197,0.5419599440883132,97,98,3,1.0,,,,156.81373191205785
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,ridge_cart,8,0.9413,0.9508090614886732,0.9246747796894671,0.9375598340602064,0.896035598705502,0.5256537917578292,151,152,3,1.0,,,,165.2085789111443
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,ridge_cart,9,0.9558,0.9419633225458468,0.9618858779466843,0.9518203618923043,0.8919544202511498,0.49517188888906616,205,206,3,1.0,,,,169.34482985921204
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,ridge_cart,10,0.9663,0.961596548004315,0.9655545927209706,0.9635715057831586,0.8859775074706446,0.4838208952038867,260,261,3,1.0,,,,176.03582283481956
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,ridge_cart,11,0.9716,0.9641855447680691,0.9742751253542621,0.9692040772066798,0.8908007098862094,0.4972031628572362,309,310,3,1.0,,,,179.8286666511558
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,ridge_cart,12,0.9749,0.9678532901833873,0.9777680906713164,0.9727854277350102,0.890971396257265,0.4889064392157678,350,351,3,1.0,,,,182.23974254727364
